time_s,rpm,torque_percent,viscosity_cp
1.02,4.6,40.13,8658.22197826087
2.04,4.6,48.04,10364.83886956522
3.04,4.6,54.43,11743.509152173914
4.04,4.6,62.43,13469.54393478261
5.01,4.6,64.67,13952.833673913046
6.01,4.6,64.78,13976.566652173915
7.02,4.6,64.32,13877.319652173914
8.01,4.6,65.63,14159.957847826086
9.01,4.6,66.66,14382.184826086957
10.0,4.6,69.82,15063.968565217392
11.0,4.6,71.79,15489.004630434783
12.03,4.6,72.2,15577.46391304348
13.04,4.6,71.09,15337.976586956525
14.0,4.6,71.27,15376.812369565218
15.03,4.6,70.62,15236.572043478263
16.04,4.6,69.94,15089.859086956523
17.01,4.6,69.0,14887.050000000003
18.03,4.6,69.08,14904.31034782609
19.0,4.6,68.78,14839.584043478264
20.04,4.6,68.39,14755.439847826088
21.01,4.6,69.57,15010.02997826087
22.0,4.6,69.07,14902.152804347828
23.01,4.6,70.23,15152.42784782609
24.05,4.6,71.58,15443.696217391307
25.02,4.6,71.59,15445.853760869568
26.02,4.6,71.19,15359.552021739131
27.02,4.6,71.05,15329.346413043479
28.04,4.6,70.56,15223.626782608697
29.02,4.6,70.0,15102.80434782609
30.0,4.6,69.21,14932.35841304348
31.04,4.6,68.84,14852.529304347827
32.04,4.6,68.75,14833.11141304348
33.01,4.6,68.69,14820.166152173913
34.05,4.6,69.35,14962.56402173913
35.03,4.6,69.13,14915.098065217391
36.05,4.6,69.83,15066.126108695653
37.01,4.6,71.27,15376.812369565218
38.0,4.6,72.5,15642.190217391304
39.02,4.6,73.19,15791.060717391305
40.04,4.6,72.66,15676.71091304348
41.01,4.6,71.93,15519.210239130436
42.02,4.6,71.38,15400.545347826088
43.0,4.6,70.6,15232.25695652174
44.03,4.6,69.79,15057.495934782613
45.05,4.6,69.17,14923.728239130436
46.03,4.6,68.97,14880.577369565219
47.04,4.6,69.32,14956.091391304348
48.03,4.6,67.95,14660.50793478261
49.04,4.6,68.83,14850.371760869566
50.03,4.6,70.6,15232.25695652174
51.0,4.6,72.31,15601.196891304351
52.01,4.6,72.68,15681.026000000003
53.01,4.6,71.72,15473.901826086956
54.0,4.6,71.03,15325.031326086959
55.04,4.6,70.37,15182.633456521742
56.03,4.6,69.32,14956.091391304348
57.04,4.6,69.03,14893.522630434785
58.03,4.6,68.86,14856.84439130435
59.01,4.6,68.22,14718.761608695655
