time_s,rpm,torque_percent,viscosity_cp
1.01,4.5,39.87,8793.2842
2.02,4.5,47.73,10526.798466666667
3.04,4.5,53.87,11880.968644444445
4.01,4.5,61.15,13486.564555555557
5.03,4.5,63.36,13973.9776
6.02,4.5,64.1,14137.183777777776
7.04,4.5,64.49,14223.197844444445
8.02,4.5,64.77,14284.951533333333
9.03,4.5,67.33,14849.556688888888
10.02,4.5,70.35,15515.614333333331
11.04,4.5,70.34,15513.408844444444
12.02,4.5,70.59,15568.54606666667
13.04,4.5,70.55,15559.72411111111
14.02,4.5,70.48,15544.28568888889
15.02,4.5,70.28,15500.17591111111
16.03,4.5,69.84,15403.1344
17.01,4.5,69.38,15301.68191111111
18.03,4.5,69.4,15306.09288888889
19.04,4.5,69.29,15281.832511111113
20.05,4.5,69.08,15235.517244444445
21.04,4.5,68.92,15200.22942222222
22.04,4.5,69.11,15242.133711111112
23.01,4.5,70.33,15511.203355555555
24.03,4.5,71.44,15756.012622222224
25.02,4.5,71.9,15857.465111111112
26.01,4.5,72.53,15996.410911111112
27.0,4.5,73.5,16210.343333333332
28.03,4.5,73.4,16188.288444444446
29.04,4.5,72.91,16080.219488888888
30.05,4.5,72.94,16086.835955555554
31.01,4.5,72.29,15943.47917777778
32.0,4.5,71.9,15857.465111111112
33.03,4.5,70.91,15639.121711111111
34.02,4.5,70.98,15654.560133333334
35.0,4.5,70.88,15632.505244444445
36.02,4.5,71.19,15700.875399999999
37.04,4.5,71.02,15663.38208888889
38.03,4.5,71.25,15714.108333333334
39.01,4.5,71.32,15729.546755555555
40.0,4.5,71.46,15760.4236
41.02,4.5,71.53,15775.862022222223
42.02,4.5,71.57,15784.683977777775
43.03,4.5,71.68,15808.944355555557
44.01,4.5,71.61,15793.505933333334
45.04,4.5,71.82,15839.821199999998
46.0,4.5,71.68,15808.944355555557
47.03,4.5,70.76,15606.039377777779
48.04,4.5,71.28,15720.7248
49.01,4.5,72.37,15961.123088888891
50.04,4.5,73.08,16117.7128
51.01,4.5,72.48,15985.383466666668
52.02,4.5,72.7,16033.904222222223
53.04,4.5,72.62,16016.260311111113
54.04,4.5,72.37,15961.123088888891
55.0,4.5,72.07,15894.95842222222
56.03,4.5,71.82,15839.821199999998
57.05,4.5,71.3,15725.13577777778
58.01,4.5,70.68,15588.395466666669
59.02,4.5,70.35,15515.614333333331
