row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
2,12,,-65.88,4.2,20.08,44.13,10.507143,0.973807,0.99669,-17.547619,119.047619,119.047619,-0.407614,-3154.761905,0.99669,0.973807,0.891851,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE,hit_r2_cv (R²=0.9738); hit_r2_slope (R²=0.8919)
2,12,,-65.9,4.2,20.09,45.92,10.933333,0.976618,0.997641,-19.166667,47.619048,47.619048,1.692939,-4047.619048,0.997641,0.976618,0.874342,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE,hit_r2_slope (R²=0.8743)
2,12,,-65.92,4.2,20.09,47.97,11.421429,0.994169,0.996861,-20.97619,154.761905,154.761905,0.420536,-4523.809524,0.996861,0.994169,0.886018,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4,0.6,FALSE,hit_2nd_deriv_drag (154.7619); hit_2nd_deriv_slope (-4523.8095); hit_r2_slope (R²=0.8860)
2,12,,-65.94,4.2,20.1,50.08,11.92381,0.996911,0.997762,-22.809524,35.714286,35.714286,-0.918883,-4583.333333,0.997762,0.996911,0.892174,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,0.4,FALSE,hit_2nd_deriv_slope (-4583.3333); hit_r2_slope (R²=0.8922)
2,12,,-65.96,4.2,20.09,52.66,12.538095,0.995901,0.995538,-25.261905,279.761905,279.761905,2.905001,-6130.952381,0.995538,0.995901,0.870145,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4,0.6,FALSE,hit_2nd_deriv_drag (279.7619); hit_2nd_deriv_slope (-6130.9524); hit_r2_slope (R²=0.8701)
2,12,,-65.98,4.2,20.08,55.26,13.157143,0.995454,0.996592,-27.821429,11.904762,11.904762,-0.924597,-6398.809524,0.996592,0.995454,0.890503,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,0.4,FALSE,hit_2nd_deriv_slope (-6398.8095); hit_r2_slope (R²=0.8905)
2,12,,-66,4.2,35.07,64.09,15.259524,0.678338,0.89235,-44.547619,3708.333333,3708.333333,86.872239,-41815.47619,0.89235,0.678338,0.636183,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,1,TRUE,hit_2nd_deriv_drag (3708.3333); hit_2nd_deriv_slope (-41815.4762); hit_r2_drag (R²=0.8923); hit_r2_cv (R²=0.6783); hit_r2_slope (R²=0.6362)
2,12,,-66.02,4.2,35.07,66.87,15.921429,0.85831,0.945365,-53.583333,-3601.190476,-3601.190476,-71.104786,-22589.28571,0.945365,0.85831,0.892451,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,1,TRUE,hit_2nd_deriv_drag (-3601.1905); hit_2nd_deriv_slope (-22589.2857); hit_r2_drag (R²=0.9454); hit_r2_cv (R²=0.8583); hit_r2_slope (R²=0.8925)
2,12,,-66.04,4.2,35.08,68.85,16.392857,0.756608,0.936469,-52.369048,-476.190476,-476.190476,-45.971886,3035.714286,0.936469,0.756608,0.673894,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,7,0.8,TRUE,hit_2nd_deriv_drag (-476.1905); hit_r2_drag (R²=0.9365); hit_r2_cv (R²=0.7566); hit_r2_slope (R²=0.6739)
3,16,,-64.64,4.2,15.02,22.3,5.309524,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
3,16,,-64.66,4.2,15.03,22.76,5.419048,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
3,16,,-64.68,4.2,15.02,23.32,5.552381,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
3,16,,-64.7,4.2,15.02,23.77,5.659524,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
3,16,,-64.72,4.2,15.03,24.34,5.795238,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
3,16,,-64.74,4.2,15.02,24.85,5.916667,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
3,16,,-64.76,4.2,15.02,25.42,6.052381,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
3,16,,-64.78,4.2,15.02,25.96,6.180952,0,0.999759,-6.5,-17.857143,-17.857143,1.395196,0,0.999759,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,
3,16,,-64.8,4.2,15.03,26.59,6.330952,0.377078,0.998772,-6.678571,53.571429,53.571429,-0.483262,-446.428571,0.998772,0.377078,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.2,FALSE,hit_r2_cv (R�=0.3771)
