time_s,rpm,torque_percent,viscosity_cp
1.02,4.5,40.36,8901.353155555556
2.03,4.5,48.43,10681.182688888888
3.05,4.5,54.45,12008.887
4.02,4.5,58.79,12966.069177777777
5.03,4.5,63.65,14037.936777777777
6.04,4.5,69.62,15354.613644444446
7.05,4.5,75.48,16647.030133333334
8.03,4.5,77.85,17169.731
9.05,4.5,78.21,17249.1286
10.02,4.5,77.47,17085.922422222226
11.05,4.5,77.19,17024.168733333336
12.05,4.5,75.63,16680.112466666666
13.01,4.5,76.73,16922.716244444444
14.03,4.5,77.99,17200.607844444443
15.04,4.5,78.41,17293.23837777778
16.0,4.5,79.33,17496.143355555556
17.02,4.5,80.37,17725.5142
18.03,4.5,81.61,17998.994822222223
19.05,4.5,81.21,17910.775266666667
20.03,4.5,79.11,17447.6226
21.04,4.5,80.24,17696.842844444443
22.0,4.5,79.69,17575.540955555553
23.02,4.5,78.02,17207.22431111111
24.03,4.5,77.62,17119.004755555557
25.04,4.5,76.5,16871.99
26.04,4.5,74.73,16481.618466666667
27.03,4.5,77.24,17035.196177777776
28.04,4.5,79.42,17515.99275555556
29.02,4.5,80.1,17665.966
30.03,4.5,80.61,17778.445933333333
31.04,4.5,80.96,17855.638044444444
32.03,4.5,82.86,18274.680933333337
33.05,4.5,79.68,17573.335466666667
34.01,4.5,80.32,17714.486755555554
35.03,4.5,79.47,17527.0202
36.0,4.5,80.55,17765.213
37.03,4.5,78.95,17412.334777777778
38.04,4.5,76.96,16973.442488888886
39.01,4.5,74.42,16413.24831111111
40.01,4.5,76.45,16860.962555555554
41.04,4.5,78.12,17229.279200000004
42.01,4.5,79.39,17509.37628888889
43.04,4.5,80.88,17837.994133333334
44.01,4.5,81.33,17937.241133333333
45.02,4.5,80.71,17800.500822222224
46.03,4.5,79.56,17546.8696
47.04,4.5,80.12,17670.376977777778
48.02,4.5,79.22,17471.88297777778
49.04,4.5,79.18,17463.061022222224
50.01,4.5,78.32,17273.388977777777
51.01,4.5,79.36,17502.759822222222
52.02,4.5,77.76,17149.881600000004
53.04,4.5,75.3,16607.33133333333
54.02,4.5,76.88,16955.798577777776
55.03,4.5,78.55,17324.115222222223
56.0,4.5,79.94,17630.67817777778
57.01,4.5,80.61,17778.445933333333
58.03,4.5,80.12,17670.376977777778
59.04,4.5,81.05,17875.487444444443
