time_s,rpm,torque_percent,viscosity_cp
1.05,4.5,4.65,1025.5523333333335
2.01,4.5,4.67,1029.9633111111111
3.01,4.5,4.79,1056.4291777777778
4.0,4.5,3.55,782.9485555555556
5.02,4.5,1.31,288.91904444444447
6.04,4.5,654.11,
7.0,4.5,651.98,
8.04,4.5,651.01,
9.01,4.5,649.59,
10.05,4.5,649.61,
11.04,4.5,649.83,
12.02,4.5,649.99,
13.04,4.5,650.19,
14.01,4.5,0.11,24.260377777777776
15.01,4.5,4.0,882.1955555555555
16.05,4.5,5.97,1316.6768666666667
17.04,4.5,4.79,1056.4291777777778
18.01,4.5,2.85,628.5643333333334
19.01,4.5,0.23,50.72624444444445
20.01,4.5,653.46,
21.03,4.5,651.73,
22.01,4.5,651.53,
23.01,4.5,650.96,
24.03,4.5,651.07,
25.02,4.5,651.46,
26.03,4.5,651.56,
27.04,4.5,0.58,127.91835555555556
28.0,4.5,3.49,769.7156222222224
29.0,4.5,6.59,1453.4171777777779
30.04,4.5,6.65,1466.650111111111
31.01,4.5,4.77,1052.0182
32.04,4.5,2.05,452.1252222222222
33.05,4.5,0.09,19.8494
34.01,4.5,653.4,
35.0,4.5,652.49,
36.02,4.5,651.66,
37.04,4.5,651.74,
38.04,4.5,652.39,
39.02,4.5,0.34,74.98662222222224
40.02,4.5,0.45,99.24700000000001
41.01,4.5,2.98,657.235688888889
42.03,4.5,5.08,1120.3883555555558
43.04,4.5,5.48,1208.6079111111112
44.01,4.5,3.75,827.0583333333334
45.01,4.5,1.39,306.56295555555556
46.03,4.5,654.31,
47.04,4.5,651.91,
48.03,4.5,651.05,
49.01,4.5,650.6,
50.05,4.5,650.4,
51.05,4.5,651.19,
52.01,4.5,653.71,
53.01,4.5,653.97,
54.02,4.5,654.95,
55.01,4.5,2.67,588.8655333333332
56.0,4.5,3.45,760.8936666666667
57.04,4.5,2.16,476.3856
58.02,4.5,,
59.03,4.5,652.96,
