time_s,rpm,torque_percent,viscosity_cp
1.01,4.6,5.09,1098.1896304347827
2.02,4.6,5.33,1149.9706739130436
3.04,4.6,5.66,1221.1696086956524
4.0,4.6,5.57,1201.7517173913045
5.03,4.6,3.8,819.8665217391305
6.01,4.6,1.96,422.87852173913046
7.0,4.6,655.05,
8.03,4.6,653.39,
9.04,4.6,651.51,
10.03,4.6,651.06,
11.04,4.6,650.17,
12.0,4.6,650.59,
13.01,4.6,651.33,
14.0,4.6,652.8,
15.03,4.6,654.28,
16.03,4.6,0.39,84.14419565217392
17.01,4.6,0.52,112.19226086956525
18.04,4.6,655.06,
19.03,4.6,653.02,
20.04,4.6,650.47,
21.0,4.6,648.39,
22.01,4.6,646.53,
23.02,4.6,646.08,
24.01,4.6,645.65,
25.02,4.6,646.1,
26.01,4.6,647.53,
27.02,4.6,649.57,
28.01,4.6,650.0,
29.03,4.6,650.87,
30.05,4.6,650.25,
31.02,4.6,649.48,
32.03,4.6,647.08,
33.01,4.6,645.59,
34.03,4.6,645.41,
35.04,4.6,645.14,
36.05,4.6,644.95,
37.04,4.6,644.55,
38.0,4.6,645.14,
39.02,4.6,646.49,
40.04,4.6,648.38,
41.02,4.6,649.37,
42.02,4.6,650.28,
43.01,4.6,649.88,
44.03,4.6,649.04,
45.01,4.6,647.0,
46.02,4.6,645.59,
47.04,4.6,645.43,
48.04,4.6,645.11,
49.05,4.6,645.0,
50.01,4.6,644.65,
51.03,4.6,645.29,
52.02,4.6,646.17,
53.01,4.6,648.13,
54.02,4.6,649.06,
55.05,4.6,649.86,
56.01,4.6,648.8,
57.0,4.6,647.82,
58.0,4.6,645.97,
59.05,4.6,645.57,
