sample,n_pts,model,success,RMSE,R2,AIC,A,A_se,h0,h0_se,n,n_se,B,B_se,visc_kcp
1kcp,16,gen_power,True,0.00162152851351575,0.9999179288710676,-197.58035352697433,2.1183282445244593,2.0688956529194797,0.13458949567041906,0.03935427032050879,0.20000000000000004,0.1833034965226376,-1.683985605447222,2.1073557281436077,1.0
2kcp,16,gen_power,True,0.009471108132453011,0.9996895485037771,-141.10429963479422,5.675912783736819,9.036820177412611,0.11141543179676236,0.05612324221089478,0.20000000000001417,0.29290641264650774,-4.341286444709652,9.216229849948965,2.0
4kcp,21,gen_power,True,0.009786887256877664,0.9999221682245163,-186.3218966200227,2.5538976910062594,1.7237733199937624,0.7647429091961196,0.26014330112207296,2.999999992713757,1.106968949740454,2.548344562482417,0.2704841214782801,4.0
5kcp,17,gen_power,True,0.037417682296279134,0.9983836291291153,-103.71080451909476,1.21859682374258,3.0619536382087946,0.6303165189350085,1.1675913354348162,2.9998134515264723,6.0259813215786036,2.6017898405602833,1.2558349253569256,5.0
8kcp,19,gen_power,True,0.011270795440199925,0.9999421690737177,-162.4505341778646,2.5059210176632556,1.2930189679481014,0.6891032657431402,0.21560873708794978,2.9999999876689594,1.0161817595885327,3.9745138242979308,0.3309914308583885,8.0
10kcp,21,gen_power,True,0.053976784642781314,0.998858993173686,-114.60645203295829,2.8474951943915268,5.8382669047065345,0.7073330547101203,0.8284862142360933,2.999999999999999,3.766494577878119,4.6330617886783045,1.2436859123925472,10.0
12.5kcp,18,gen_power,True,0.032080647929758434,0.9998129349517259,-115.82208275954012,3.726508309122863,1.5115994730749789,0.2838485200638994,0.11028061717025593,1.109378332309277,0.5456100207563968,3.8312333402301744,2.167167764126634,12.5
15kcp,11,gen_power,True,0.15398206032894451,0.9951104153699906,-33.16022184394218,28.462614259808667,406.52855842420576,0.1153902391778958,0.44613044660412904,0.20000000236052773,2.57387330892556,-19.22221119341609,415.7063228301363,15.0
20kcp,17,gen_power,True,0.05525500049516138,0.999819063901812,-90.45707882332019,15.619535190680127,9.894075819328304,0.13626290021294726,0.04461402161576506,0.44374364923794346,0.24669365394196002,-4.649932077605447,10.702267625565492,20.0
25kcp,23,gen_power,True,0.0763518823005017,0.999704342901139,-110.33051932610356,17.68222498801342,8.681728803190738,0.1362647237111702,0.03768510750265053,0.40213955369414245,0.18272382645514537,-7.713753153411672,9.211188024766026,25.0
30kcp,18,gen_power,True,0.13249636006651774,0.9994468595434243,-64.76320378465454,26.029989476614,25.83062305634337,0.10351714331943011,0.04980188179951173,0.34125658753592963,0.29428669549948117,-11.921932408197696,27.216391114216673,30.0
35kcp,17,gen_power,True,0.407347809459878,0.9983536215067313,-22.53498825245162,78.65752948760486,167.65030681626212,0.06514448202673073,0.054654852349319424,0.20000000000000143,0.37501279476500626,-50.16228746093812,171.63293550752903,35.0
40kcp,17,gen_power,True,0.12131543603533759,0.9998781456766636,-63.71828134728882,24.374323689504926,28.42538475164655,0.7384306815860312,0.46962086607037934,2.9999999997975952,2.117174696969317,34.721917595328705,5.941888812759684,40.0
45kcp,22,gen_power,True,0.07947578407743489,0.9998863292058696,-103.42132788697977,13.331940020577399,2.8280388660325286,0.30626797062398325,0.07185353559956262,1.0605506195793475,0.31266694333062467,7.334094859240226,4.068699304759872,45.0
50kcp,17,gen_power,True,0.23684780628006735,0.9996211259758999,-40.97147539846582,42.78908549406651,45.12078148543705,0.23476231490699392,0.15394169875142988,0.6300303237979767,0.6749634978734343,-5.678115378749482,51.59497471847015,50.0
55kcp,25,gen_power,True,0.18785068272483862,0.9995216849084008,-75.60539362769327,33.813314078120264,20.052315136317166,0.18238938627013726,0.06592186198811793,0.4577509957979477,0.2709330955188242,-11.452002384285825,21.55582026784176,55.0
60kcp,17,gen_power,True,0.08233074811393098,0.9999399719710953,-76.89836145200017,18.928204901817416,5.194445146766794,0.2922024584918679,0.0747015980921918,1.080434365575925,0.3612470961735652,17.276837976150166,7.365182436289981,60.0
70kcp,18,gen_power,True,0.18016074535027882,0.9998587538367602,-53.700608687750574,22.912654252369876,2.333297896283886,0.44493052817239853,0.19799076217913442,1.6931455401168267,0.8961724968632385,34.23431780334163,10.496502987304597,70.0
75kcp,22,gen_power,True,0.11192375754604177,0.9999140937733194,-88.35724453032427,24.14536324164276,4.996811125160418,0.2876913906264308,0.05826262023137033,0.950787385972919,0.25021754339727,10.23217484886684,6.677540535888445,75.0
80kcp,18,gen_power,True,0.8401386167602495,0.9978421557981291,1.7292182909697997,134.23933226459545,279.80237076054027,0.059913474885705115,0.05225180367167142,0.2000000000000376,0.365921165512072,-86.27348334023351,286.4358655462001,80.0
90kcp,17,gen_power,True,0.10982445978538977,0.9999547281811376,-67.1016482719923,62.55187001464359,24.192436317422384,0.24207104316755085,0.057272292515459296,0.6090526230862335,0.24243886124914477,-11.43804759046813,27.470990731330794,90.0
95kcp,21,gen_power,True,0.13681400378953235,0.9999356579091618,-75.54358231031144,31.758044860860934,6.188066773179103,0.2593755390247176,0.04506689716981516,0.929293435800961,0.20840019354007136,14.883573082868978,8.042702052594334,95.0
100kcp,17,gen_power,True,0.1837866071631083,0.9998864833136012,-49.59531789455059,44.83944850693582,20.177988592286713,0.33629403313148853,0.14519331151261292,0.9785723792544837,0.5997792963372311,18.639862212322445,28.00209700576016,100.0
