,median,ci95_lo,ci95_hi,std
A,2.435621071927631,1.8875477214366538,2.7033328793586255,0.24831178383393582
h0,0.6827964248813545,0.3963798407707895,0.7048890017283502,0.08954914825241364
n,2.9999999744678547,1.5526037228326612,2.9999999999999996,0.4301987552631392
B,3.9501133982094565,2.9812694657182908,4.0389074164054675,0.2722960422426289
