,metric
n,22.0
k,3.0
RMSE,0.07955891385456233
MAE,0.06181195594912239
R2,0.99988609128762
adjR2,0.9998671065022233
AIC,-105.37532898769172
BIC,-102.10220162761676
CV_RMSE,0.094652815288265
