,n,k,RMSE,AIC,BIC,ΔAIC,ΔBIC
gen_regularized,425.0,3.0,0.01646221929881553,-3484.684173552765,-3472.5279060459916,0.0,0.0
regularized,425.0,2.0,0.017793844359551714,-3420.567298392845,-3412.463120054996,64.11687515992026,60.06478599099546
power,425.0,2.0,0.04003159417178673,-2731.373339992636,-2723.2691616547872,753.3108335601291,749.2587443912043
