fluid_id,family,conc,source,true_cP,rpm,shear_rate,A,A_se,B,R2,n
Carbopol-980|0.3%,Carbopol-980,0.3%,Carbopol-980,,0.4,0.7999999999999999,10.455602156628931,1.018413403671792,133.50404851433754,0.7401726431984768,39
Carbopol-980|0.3%,Carbopol-980,0.3%,Carbopol-980,,0.6,1.1999999999999997,6.804009754498516,0.701625215532346,97.79676620457934,0.717646653931135,39
Carbopol-980|0.3%,Carbopol-980,0.3%,Carbopol-980,,0.8,1.5999999999999999,5.826670738306011,0.5824295365882088,77.22550234969125,0.7300877398372954,39
Carbopol-980|0.3%,Carbopol-980,0.3%,Carbopol-980,,1.0,1.9999999999999998,3.33041486480365,0.5784012734844441,66.7566595606635,0.4725902126327268,39
Carbopol-980|0.4%,Carbopol-980,0.4%,Carbopol-980,,0.1,0.19999999999999998,47.734251993237784,7.349180965116982,273.7681753497636,0.5610964294127129,35
Carbopol-980|0.4%,Carbopol-980,0.4%,Carbopol-980,,0.2,0.39999999999999997,21.283463702450106,3.308585721604305,185.74704235547415,0.5563376549906948,35
Carbopol-980|0.4%,Carbopol-980,0.4%,Carbopol-980,,0.3,0.5999999999999999,13.992533562587417,2.372079044988072,150.9652211638184,0.5132485524817784,35
Carbopol-980|0.4%,Carbopol-980,0.4%,Carbopol-980,,0.4,0.7999999999999999,12.456412994565643,2.1373092952438095,127.45908069135061,0.5072165493284818,35
PEG-300K|10%,PEG-300K,10%,PEG,7158.0,3.0,5.999999999999999,8.392530278120443,0.07255849365043088,1.9944510973132636,0.990229865042162,134
PEG-300K|10%,PEG-300K,10%,PEG,7158.0,5.0,9.999999999999998,6.976333966944159,0.05571694919123279,2.6252497049772403,0.9920271383955913,128
PEG-300K|10%,PEG-300K,10%,PEG,7158.0,7.0,13.999999999999998,4.778925004983533,0.2332801919543506,1.9586245527928048,0.6894853358595896,191
PEG-300K|10%,PEG-300K,10%,PEG,7158.0,9.0,17.999999999999996,2.968964384723122,0.05152562453314189,3.97084638505767,0.9784863463251036,75
PEG-300K|5%,PEG-300K,5%,PEG,577.0,50.0,99.99999999999999,0.2733806856348372,0.0010740153469430112,0.16908620478153452,0.9982743479248549,114
PEG-300K|5%,PEG-300K,5%,PEG,577.0,70.0,139.99999999999997,0.24378618117441697,0.0011042110388071451,0.17150134969767608,0.9977075108895962,114
PEG-300K|5%,PEG-300K,5%,PEG,577.0,90.0,179.99999999999997,0.20637448011602424,0.007715360720691434,0.17652802438693338,0.7607613060354783,227
PEG-300K|5%,PEG-300K,5%,PEG,577.0,110.0,219.99999999999997,0.20568148800122182,0.0011214831120017765,0.17024878094723786,0.9966812892879625,114
PEG-600K|10%,PEG-600K,10%,PEG,64250.0,0.6,1.1999999999999997,26.06183611158636,0.44831918977692903,9.433322451990797,0.9577708343594251,151
PEG-600K|10%,PEG-600K,10%,PEG,64250.0,0.7,1.4,24.061995450048975,0.4476233928536067,11.057184123531727,0.9506513994016369,152
PEG-600K|10%,PEG-600K,10%,PEG,64250.0,0.8,1.5999999999999999,18.653163271676284,2.964691717322805,34.25013934629317,0.1431248662491631,239
PEG-600K|10%,PEG-600K,10%,PEG,64250.0,0.9,1.7999999999999998,22.923146224357065,0.4228997713496438,10.8342853703328,0.9517353726969495,151
PEG-600K|5%,PEG-600K,5%,PEG,3254.0,5.0,9.999999999999998,5.102429623481439,0.07029950302110316,2.3874448042492937,0.974112645936602,142
PEG-600K|5%,PEG-600K,5%,PEG,3254.0,10.0,19.999999999999996,3.204713501810714,0.05837859565859128,2.654958261441184,0.9629333701329356,118
PEG-600K|5%,PEG-600K,5%,PEG,3254.0,15.0,29.999999999999993,2.194805024367608,0.14284367741702905,1.0362930368587997,0.5900879178551146,166
PEG-600K|5%,PEG-600K,5%,PEG,3254.0,20.0,39.99999999999999,1.0903796209723764,0.025100726087709576,2.3782399822380333,0.9762033810204708,48
PEG-600K|6.5%,PEG-600K,6.5%,PEG,4109.0,12.0,23.999999999999996,2.0292112743129147,0.032096948870521454,1.6851922231188294,0.9717962920517232,118
Sepineo|1%,Sepineo,1%,Sepineo,2148.0,23.0,45.99999999999999,0.48474523467317954,0.012036362661199429,1.3883533175931413,0.9563665517823742,76
Sepineo|1.5%,Sepineo,1.5%,Sepineo,17240.0,2.9,5.799999999999999,3.0512135215124663,0.15770660556927357,13.230649492207263,0.8330818625949872,77
Sepineo|2%,Sepineo,2%,Sepineo,50110.0,0.5,0.9999999999999999,12.474644621589523,0.7470939440638776,77.51881131004711,0.8772845747927943,41
Sepineo|2%,Sepineo,2%,Sepineo,50110.0,1.0,1.9999999999999998,8.728320384135616,0.5466494002242164,45.06239215494296,0.6710035407931818,127
Sepineo|2%,Sepineo,2%,Sepineo,50110.0,1.5,2.9999999999999996,6.236942029489776,0.2920173062969299,31.483587117643577,0.9212390891115851,41
Sepineo|2%,Sepineo,2%,Sepineo,50110.0,2.0,3.9999999999999996,4.930324205205879,0.22317963331758983,25.092389188874495,0.9259996783481912,41
Solagum|1%,Solagum,1%,Solagum,522.0,95.0,189.99999999999997,0.14008159402579806,0.00899899699135108,0.2934672439879883,0.7541326320410054,81
Solagum|2%,Solagum,2%,Solagum,35860.0,0.7,1.4,12.34269053466396,1.0601762126419931,48.226038391936044,0.7901349184575892,38
Solagum|2%,Solagum,2%,Solagum,35860.0,1.4,2.8,6.939334247125885,0.3956451483106137,25.708480513098547,0.7244638141529045,119
Solagum|2%,Solagum,2%,Solagum,35860.0,2.1,4.199999999999999,4.68742258360314,0.2012399646594211,20.56707967161021,0.9377754693217563,38
Solagum|2%,Solagum,2%,Solagum,35860.0,2.8,5.6,3.9754127340703094,0.17799664218397615,16.071878677625687,0.9326871957271485,38
Solagum|3%,Solagum,3%,Solagum,130699.99999999999,0.2,0.39999999999999997,48.63974197452186,3.249332231440978,216.84771947461033,0.8485281399485629,42
Solagum|3%,Solagum,3%,Solagum,130699.99999999999,0.4,0.7999999999999999,27.128750667286674,2.6579217102718204,117.27121332262621,0.46679286018102917,121
Solagum|3%,Solagum,3%,Solagum,130699.99999999999,0.6,1.1999999999999997,16.81557475716279,1.1910400085356925,98.61865328725168,0.8328661372155017,42
Solagum|3%,Solagum,3%,Solagum,130699.99999999999,0.8,1.5999999999999999,15.959871779295037,1.310122918672001,75.56502901458468,0.7876860905030256,42
