,median,ci95_lo,ci95_hi,std
A,4.087759090280922,3.864855709803991,4.590019833707124,0.19356531748311365
h0,0.2625969138191421,0.2513806874844019,0.28615544194263387,0.00955027475801649
B,3.333352574480629,2.75852726138451,3.600962617014863,0.2251139878633827
