fluid_id,mu_true,mu_hat_power,mu_hat_linear,err_pct_power,err_pct_linear
1.0kcP,1073.0,1141.6647107750666,13.56152320007153,6.399320668692137,-98.73611153773795
2.0kcP,3345.0,3444.752378892383,128.49051966538758,2.9821338981280463,-96.15872885903175
5.0kcP,5861.0,5601.836819042611,347.8605618240552,-4.421825302122319,-94.06482576652354
4.0kcP,6603.0,6280.692174559377,437.6401001977503,-4.8812331582708275,-93.37210207181963
8.0kcP,8946.0,8798.997725147316,854.0990004557237,-1.643217916976128,-90.45272747087276
10.0kcP,9152.0,9167.402592010867,924.6444187917878,0.16829755256629164,-89.89680486460023
12.5kcP,14576.0,14251.614911593744,2245.2360978516963,-2.225473987419428,-84.59634949333359
15.0kcP,19036.0,18367.714202723637,3734.7665203323136,-3.5106419272765454,-80.38050787806097
25.0kcP,22760.0,23815.41618476676,6237.29182559314,4.637153711628999,-72.59537862217425
20.0kcP,24396.0,24817.51802242143,6788.07108495725,1.7278161273218189,-72.17547513954234
30.0kcP,31903.0,31269.044452610808,10797.907758852283,-1.9871345873090065,-66.15394239146072
45.0kcP,40820.0,41919.97742943492,19316.582608581648,2.694702178919449,-52.678631532137075
55.0kcP,48553.0,48218.87314238495,25594.193460697945,-0.6881693358083886,-47.28607200235218
40.0kcP,62756.0,66203.43719391804,48110.725447150624,5.49339854980885,-23.336851540648503
35.0kcP,63253.0,62973.8651474923,43665.78565146177,-0.441298993735787,-30.966459058919316
60.0kcP,68953.0,64314.9944658,45739.74566614559,-6.726328853276867,-33.665329041309896
75.0kcP,70730.0,68975.39403721603,52537.75499654562,-2.480709688652582,-25.72069136639952
50.0kcP,79653.0,77050.96955589233,65860.96883905199,-3.266707398475479,-17.315143385620143
70.0kcP,87046.0,97817.3406076248,107364.87563312163,12.374308535285717,23.34268735280384
95.0kcP,93400.0,99631.22836517943,112320.28557098556,6.671550712183542,20.257265065295037
90.0kcP,102466.0,101114.20000949212,116887.07537867967,-1.3192668695058614,14.07401028505033
80.0kcP,103800.0,104363.40237138372,125206.20927875234,0.5427768510440494,20.622552291668924
100.0kcP,124033.0,116473.55098150538,163093.9981582775,-6.094707874916046,31.492423918052054
