,metric
n,18.0
k,3.0
RMSE,0.18633279427568317
MAE,0.13691924626909074
R2,0.9998489102810547
adjR2,0.9998165339127093
AIC,-54.48795554907116
BIC,-51.81684027538267
CV_RMSE,0.23229856060354592
