,metric
n,23.0
k,4.0
RMSE,0.0763518823005017
MAE,0.06239493501711295
R2,0.999704342901139
adjR2,0.9996386413236142
AIC,-110.33051932610356
BIC,-105.78854246238696
CV_RMSE,0.13401236405266595
