,metric
n,17.0
k,3.0
RMSE,0.03809189125026692
MAE,0.033400761976614984
R2,0.9983248553275426
adjR2,0.9979382834800524
AIC,-105.10363081763754
BIC,-102.60399078546888
CV_RMSE,0.04625922886276769
