param,value,stderr,ci95_lo,ci95_hi
A,4.073239836321102,0.13573538724819653,3.8071984773146372,4.339281195327567
h0,0.26178458626668966,0.006596856425789003,0.24885474767214322,0.2747144248612361
B,3.3506701721069674,0.16354483967763,3.0301222863388126,3.671218057875122
