,metric
n,17.0
k,3.0
RMSE,0.18379523312351256
MAE,0.1554160998754225
R2,0.9998864726576188
adjR2,0.9998602740401462
AIC,-51.59372215383843
BIC,-49.09408212166978
CV_RMSE,0.20256758322735577
