,n,k,RMSE,MAE,R2,adjR2,AIC,BIC,CV_RMSE,ΔAIC,ΔBIC
regularized,17.0,3.0,0.18379523312351256,0.1554160998754225,0.9998864726576188,0.9998602740401462,-51.59372215383843,-49.09408212166978,0.20256758322735577,0.0,0.0
gen_power,17.0,4.0,0.1837866071631083,0.15561151607185597,0.9998864833136012,0.9998486444181349,-49.59531789455059,-46.26246451832573,0.214909247889043,1.9984042592878382,2.83161760334405
saturation,17.0,3.0,1.3730143682644107,1.150126313075262,0.9936644817160011,0.9922024390350782,16.778292114384655,19.277932146553304,2.0070782130243168,68.37201426822308,68.37201426822308
hyperbolic,17.0,2.0,9.88367455660363,8.78026495175319,0.6717015304964287,0.6248017491387756,81.8900682841913,83.55649497230374,15.096062190413893,133.48379043802973,132.6505770939735
