,metric
n,19.0
k,4.0
RMSE,0.011270795440199925
MAE,0.009301593381896943
R2,0.9999421690737177
adjR2,0.9999256459519228
AIC,-162.4505341778646
BIC,-158.67277826119883
CV_RMSE,0.012853646880226055
