,n,k,RMSE,MAE,R2,adjR2,AIC,BIC,CV_RMSE,ΔAIC,ΔBIC
gen_power,23.0,4.0,0.0763518823005017,0.06239493501711295,0.999704342901139,0.9996386413236142,-110.33051932610356,-105.78854246238696,0.13401236405266595,0.0,0.0
regularized,23.0,3.0,0.08427614464040048,0.0632311990810176,0.9996397880350878,0.9995829124616806,-107.78819604442504,-104.3817133966376,0.11766006973244714,2.54232328167852,1.4068290657493634
saturation,23.0,3.0,0.40235817764977544,0.32048079404946533,0.991789407849688,0.9904929985627967,-35.87897950247134,-32.47249685468389,0.5677336961339099,74.45153982363222,73.31604560770307
hyperbolic,23.0,2.0,2.532745507954347,2.2328990937069673,0.6746641501696506,0.6421305651866157,46.747979186825425,49.018967618683725,3.814732823646365,157.07849851292897,154.8075100810707
