,n,k,RMSE,MAE,R2,adjR2,AIC,BIC,CV_RMSE,ΔAIC,ΔBIC
regularized,18.0,3.0,0.03212411623519277,0.0272464063941288,0.9998124276733459,0.9997722336033485,-117.77333686801383,-115.10222159432533,0.04065997801013862,0.0,0.0
gen_power,18.0,4.0,0.032080647929758434,0.0274739058516439,0.9998129349517259,0.9997553764753339,-115.82208275954012,-112.26059572795546,0.049610671577796625,1.9512541084737052,2.841625866369867
saturation,18.0,3.0,0.18555040164436107,0.15328708444103978,0.9937420774241229,0.9924010940150064,-54.639434167054155,-51.96831889336566,0.27377666581873505,63.13390270095967,63.133902700959666
hyperbolic,18.0,2.0,1.2960034296467455,1.1582320621960565,0.6947057042790763,0.6539997981829532,13.334268793322083,15.115012309114412,1.9964254306829314,131.10760566133592,130.21723390343973
