,metric
n,17.0
k,4.0
RMSE,0.10982445978538977
MAE,0.09175893514687647
R2,0.9999547281811376
adjR2,0.9999396375748502
AIC,-67.1016482719923
BIC,-63.76879489576744
CV_RMSE,0.16603297661999755
