time_s,rpm,torque_percent,viscosity_cp
1.01,4.5,39.45,8700.653666666667
2.02,4.5,47.11,10390.058155555556
3.05,4.5,54.08,11927.283911111112
4.01,4.5,60.59,13363.057177777779
5.01,4.5,60.76,13400.55048888889
6.04,4.5,60.32,13303.50897777778
7.02,4.5,58.72,12950.630755555556
8.04,4.5,57.16,12606.57448888889
9.02,4.5,56.64,12491.889066666667
10.03,4.5,59.21,13058.699711111112
11.02,4.5,62.26,13731.373822222224
12.04,4.5,65.0,14335.677777777779
13.01,4.5,66.43,14651.062688888891
14.02,4.5,67.56,14900.282933333336
15.02,4.5,68.51,15109.80437777778
16.03,4.5,68.8,15173.763555555555
17.07,4.5,66.32,14626.802311111109
18.03,4.5,64.57,14240.841755555555
19.0,4.5,64.36,14194.526488888889
20.0,4.5,63.51,14007.059933333332
21.03,4.5,61.45,13552.729222222224
22.0,4.5,59.18,13052.083244444446
23.04,4.5,59.24,13065.316177777779
24.03,4.5,61.92,13656.387200000001
25.04,4.5,64.43,14209.964911111114
26.01,4.5,65.92,14538.582755555555
27.04,4.5,67.2,14820.885333333335
28.06,4.5,68.55,15118.626333333332
29.04,4.5,69.2,15261.98311111111
30.01,4.5,67.32,14847.351199999997
31.04,4.5,65.81,14514.322377777778
32.05,4.5,65.07,14351.116199999999
33.01,4.5,64.73,14276.129577777778
34.04,4.5,61.71,13610.071933333333
35.05,4.5,59.74,13175.590622222222
36.01,4.5,58.4,12880.05511111111
37.04,4.5,60.92,13435.83831111111
38.01,4.5,63.65,14037.936777777777
39.02,4.5,65.44,14432.71928888889
40.05,4.5,66.58,14684.145022222223
41.02,4.5,68.34,15072.311066666667
42.05,4.5,69.16,15253.161155555556
43.01,4.5,68.5,15107.59888888889
44.0,4.5,66.43,14651.062688888891
45.02,4.5,64.85,14302.595444444443
46.04,4.5,64.81,14293.77348888889
47.01,4.5,63.11,13918.840377777778
48.01,4.5,60.22,13281.45408888889
49.04,4.5,58.22,12840.35631111111
50.04,4.5,59.29,13076.343622222223
51.01,4.5,62.39,13760.045177777778
52.0,4.5,64.91,14315.828377777776
53.02,4.5,65.91,14536.377266666666
54.02,4.5,67.74,14939.981733333332
55.03,4.5,69.08,15235.517244444445
56.02,4.5,69.84,15403.1344
57.01,4.5,67.65,14920.132333333335
58.03,4.5,65.53,14452.56868888889
59.05,4.5,65.33,14408.45891111111
