time_s,rpm,torque_percent,viscosity_cp
1.01,4.6,40.26,8686.270043478262
2.01,4.6,48.32,10425.250086956523
3.02,4.6,56.31,12149.127326086958
4.02,4.6,62.84,13558.003217391308
5.02,4.6,65.97,14233.314326086958
6.03,4.6,63.49,13698.243543478264
7.04,4.6,61.61,13292.625369565218
8.04,4.6,61.08,13178.275565217393
9.01,4.6,60.34,13018.61734782609
10.02,4.6,58.57,12636.732152173914
11.04,4.6,57.78,12466.286217391305
12.02,4.6,58.02,12518.067260869566
13.03,4.6,59.95,12934.473152173914
14.03,4.6,62.21,13422.077978260872
15.01,4.6,64.77,13974.409108695652
16.02,4.6,66.77,14405.917804347828
17.03,4.6,68.52,14783.487913043478
18.04,4.6,67.46,14554.788304347825
19.03,4.6,64.68,13954.991217391307
20.05,4.6,62.52,13488.96182608696
21.01,4.6,61.48,13264.577304347828
22.02,4.6,61.39,13245.159413043479
23.04,4.6,60.02,12949.575956521741
24.0,4.6,58.9,12707.931086956523
25.01,4.6,58.84,12694.985826086959
26.01,4.6,60.35,13020.774891304349
27.02,4.6,62.02,13381.084652173915
28.03,4.6,64.78,13976.566652173915
29.04,4.6,66.76,14403.760260869567
30.05,4.6,68.78,14839.584043478264
31.01,4.6,68.02,14675.610739130436
32.04,4.6,65.51,14134.067326086959
33.05,4.6,63.26,13648.62004347826
34.0,4.6,62.07,13391.872369565219
35.05,4.6,61.75,13322.83097826087
36.05,4.6,61.28,13221.42643478261
37.01,4.6,59.72,12884.849652173914
38.03,4.6,59.53,12843.85632608696
39.0,4.6,60.39,13029.405065217392
40.03,4.6,61.21,13206.323630434783
41.01,4.6,64.72,13963.621391304348
42.04,4.6,66.29,14302.355717391307
43.05,4.6,68.33,14742.494586956522
44.04,4.6,67.92,14654.03530434783
45.01,4.6,65.53,14138.38241304348
46.02,4.6,62.8,13549.373043478263
47.05,4.6,61.47,13262.419760869567
48.01,4.6,61.02,13165.330304347828
49.02,4.6,60.01,12947.418413043479
50.05,4.6,58.81,12688.513195652175
51.01,4.6,59.1,12751.08195652174
52.01,4.6,59.06,12742.451782608698
53.02,4.6,60.56,13066.083304347827
54.01,4.6,63.34,13665.88039130435
55.0,4.6,65.6,14153.485217391306
56.01,4.6,67.94,14658.35039130435
57.02,4.6,68.26,14727.391782608698
58.01,4.6,65.79,14194.478543478264
59.0,4.6,63.05,13603.311630434784
