row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,l1000_b_a_,-66.18,43,15.02,49.56,1.152558,0.995619,0.999009,-1.872093,-4.069767,-4.069767,-1.890091,-279.069767,0.999009,0.995619,0.898515,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R?=0.8985)
1,1,l1000_b_a_,-66.2,43,15.03,51.65,1.201163,0.995435,0.996699,-2.024419,24.418605,24.418605,2.185489,-380.813953,0.996699,0.995435,0.868036,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R?=0.8680)
1,1,l1000_b_a_,-66.22,43,15.03,53.83,1.25186,0.981048,0.996378,-2.223256,5.232558,5.232558,2.006266,-497.093023,0.996378,0.981048,0.872642,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0.4,FALSE,hit_2nd_deriv_slope (-497.0930); hit_r2_slope (R?=0.8726)
1,1,l1000_b_a_,-66.24,43,15.03,56.38,1.311163,0.96602,0.994493,-2.47093,21.511628,21.511628,1.879235,-619.186047,0.994493,0.96602,0.877135,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,0.6,FALSE,hit_2nd_deriv_slope (-619.1860); hit_r2_cv (R?=0.9660); hit_r2_slope (R?=0.8771)
1,1,l1000_b_a_,-66.26,43,15.03,58.76,1.366512,0.99302,0.998491,-2.689535,-9.883721,-9.883721,-3.135145,-546.511628,0.998491,0.99302,0.897775,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0.4,FALSE,hit_2nd_deriv_slope (-546.5116); hit_r2_slope (R?=0.8978)
1,1,l1000_b_a_,-66.28,43,15.03,61.78,1.436744,0.994417,0.996918,-2.92907,37.209302,37.209302,0.289619,-598.837209,0.996918,0.994417,0.887405,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0.6,FALSE,hit_2nd_deriv_drag (37.2093); hit_2nd_deriv_slope (-598.8372); hit_r2_slope (R?=0.8874)
1,1,l1000_b_a_,-66.3,43,15.02,65.13,1.514651,0.992706,0.994907,-3.255814,19.186047,19.186047,3.312944,-816.860465,0.994907,0.992706,0.868075,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0.4,FALSE,hit_2nd_deriv_slope (-816.8605); hit_r2_slope (R?=0.8681)
1,1,l1000_b_a_,-66.32,43,25.03,71.59,1.664884,0.795239,0.958264,-4.277907,180.813953,180.813953,34.321388,-2555.232558,0.958264,0.795239,0.743049,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,1,TRUE,hit_2nd_deriv_drag (180.8140); hit_2nd_deriv_cv (34.3214); hit_2nd_deriv_slope (-2555.2326); hit_r2_drag (R?=0.9583); hit_r2_cv (R?=0.7952); hit_r2_slope (R?=0.7430)
1,1,l1000_b_a_,-66.34,43,35.05,70.58,1.641395,0.673156,0.915076,-3.889535,-434.302326,-434.302326,-67.385128,970.930233,0.915076,0.673156,0.496064,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1,TRUE,hit_2nd_deriv_drag (-434.3023); hit_2nd_deriv_cv (-67.3851); hit_2nd_deriv_slope (970.9302); hit_r2_drag (R?=0.9151); hit_r2_cv (R?=0.6732); hit_r2_slope (R?=0.4961)
1,1,l1000_b_a_,-66.36,43,35.04,69.28,1.611163,0.01618,0.618915,-2.377907,-16.860465,-16.860465,-29.46925,3779.069767,0.618915,0.01618,0.707736,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1,TRUE,hit_2nd_deriv_cv (-29.4692); hit_2nd_deriv_slope (3779.0698); hit_r2_drag (R?=0.6189); hit_r2_cv (R?=0.0162); hit_r2_slope (R?=0.7077)
