time_s,rpm,torque_percent,viscosity_cp
1.02,4.6,38.37,8278.494326086957
2.05,4.6,45.84,9890.179304347826
3.06,4.6,50.36,10865.38895652174
4.02,4.6,52.48,11322.788173913044
5.04,4.6,53.52,11547.172695652176
6.04,4.6,53.96,11642.104608695652
7.02,4.6,54.19,11691.728108695654
8.0,4.6,54.31,11717.618630434785
9.04,4.6,54.35,11726.248804347828
10.01,4.6,54.41,11739.194065217393
11.03,4.6,54.46,11749.981782608696
12.01,4.6,54.52,11762.927043478263
13.04,4.6,54.56,11771.557217391306
14.01,4.6,54.43,11743.509152173914
15.02,4.6,54.39,11734.878978260871
16.02,4.6,54.37,11730.56389130435
17.0,4.6,54.38,11732.72143478261
18.02,4.6,54.34,11724.091260869567
19.05,4.6,54.3,11715.461086956522
20.02,4.6,54.33,11721.933717391306
21.04,4.6,54.33,11721.933717391306
22.04,4.6,54.31,11717.618630434785
23.05,4.6,54.35,11726.248804347828
24.1,4.6,54.37,11730.56389130435
25.01,4.6,54.43,11743.509152173914
26.02,4.6,54.46,11749.981782608696
27.01,4.6,54.35,11726.248804347828
28.02,4.6,54.32,11719.776173913044
29.03,4.6,54.32,11719.776173913044
30.02,4.6,54.33,11721.933717391306
31.03,4.6,54.29,11713.303543478263
32.03,4.6,54.25,11704.67336956522
33.05,4.6,54.24,11702.515826086958
34.02,4.6,54.24,11702.515826086958
35.01,4.6,54.26,11706.830913043479
36.05,4.6,54.31,11717.618630434785
37.02,4.6,54.31,11717.618630434785
38.04,4.6,54.39,11734.878978260871
39.04,4.6,54.41,11739.194065217393
40.02,4.6,54.28,11711.146
41.02,4.6,54.27,11708.988456521742
42.03,4.6,54.27,11708.988456521742
43.04,4.6,54.29,11713.303543478263
44.0,4.6,54.27,11708.988456521742
45.03,4.6,54.23,11700.358282608697
46.03,4.6,54.23,11700.358282608697
47.04,4.6,54.23,11700.358282608697
48.03,4.6,54.23,11700.358282608697
49.05,4.6,54.27,11708.988456521742
50.02,4.6,54.28,11711.146
51.03,4.6,54.34,11724.091260869567
52.03,4.6,54.37,11730.56389130435
53.04,4.6,54.25,11704.67336956522
54.04,4.6,54.24,11702.515826086958
55.0,4.6,54.26,11706.830913043479
56.02,4.6,54.27,11708.988456521742
57.01,4.6,54.23,11700.358282608697
58.04,4.6,54.19,11691.728108695654
59.01,4.6,54.22,11698.200739130436
