family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,hit_point_z,provider_suffix,provider_bucket,viscosity_bucket_kcp,truth_source,benchmark_family,cohort_type,rpm,gamma_dot,n_drag_points,mu_pred_cP,mu_true_cP,mu_true_label_cP,mu_true_master_cP,abs_pct_err,abs_pct_err_label,abs_pct_err_master,pathway,R2_drag,tau_Pa_hit,A,fit_success,n_stress,K_stress
Sepineo,sepineo.csv,1.5%sep_17240,Sepineo|1.5%,2,0,15.03,35.1,1.5,,,other,other,15-40,master,polymer_reference,benchmark,2.9,5.799999999999999,16,19054.389881813877,17240.0,17240.0,17240.0,10.524303258781188,10.524303258781188,10.524303258781188,strong_shear_thinning,0.9795244150104516,110.51546131452046,0.6320540280013835,True,0.24701697780050735,71.71739207696322
Sepineo,sepineo.csv,1.5%sep_17240,Sepineo|1.5%,2,0,15.03,35.1,1.5,,,other,other,15-40,master,polymer_reference,benchmark,5.8,11.599999999999998,16,11338.591138946085,10090.0,17240.0,10090.0,12.374540524738208,34.23090986690205,12.374540524738208,strong_shear_thinning,0.9818878171229858,131.52765721177457,0.48210561569261234,True,0.24701697780050735,71.71739207696322
Sepineo,sepineo.csv,1.5%sep_17240,Sepineo|1.5%,7,0,15.0,30.01,1.5,,,other,other,15-40,master,polymer_reference,benchmark,2.9,5.799999999999999,31,22980.902121832154,17240.0,17240.0,17240.0,33.29989629833036,33.29989629833036,33.29989629833036,strong_shear_thinning,0.9257069880115333,133.28923230662647,2.2237114456273406,True,0.2439193441519085,86.84576905656436
Sepineo,sepineo.csv,1.5%sep_17240,Sepineo|1.5%,7,0,15.0,30.01,1.5,,,other,other,15-40,master,polymer_reference,benchmark,5.8,11.599999999999998,31,13605.237252342378,10090.0,17240.0,10090.0,34.83882311538532,21.083310601262305,34.83882311538532,strong_shear_thinning,0.9415140109180972,157.82075212717157,1.351503216986998,True,0.2439193441519085,86.84576905656436
Sepineo,sepineo.csv,2%sep_50110,Sepineo|2%,3,0,15.02,20.1,2.0,,,other,other,40+,master,polymer_reference,benchmark,0.5,0.9999999999999999,16,89994.32450033045,82550.0,50110.0,82550.0,9.017958207547482,79.59354320560855,9.017958207547482,strong_shear_thinning,0.8525063828361018,89.99432450033044,1.2428246002106689,True,0.2563773857765846,90.32284467637007
Sepineo,sepineo.csv,2%sep_50110,Sepineo|2%,3,0,15.02,20.1,2.0,,,other,other,40+,master,polymer_reference,benchmark,1.0,1.9999999999999998,16,54151.10219919512,50110.0,50110.0,50110.0,8.064462580712673,8.064462580712673,8.064462580712673,strong_shear_thinning,0.9473665849080973,108.30220439839023,1.1594289375900568,True,0.2563773857765846,90.32284467637007
Sepineo,sepineo.csv,2%sep_50110,Sepineo|2%,3,0,15.02,20.1,2.0,,,other,other,40+,master,polymer_reference,benchmark,2.0,3.9999999999999996,16,32129.652790411277,30060.0,50110.0,30060.0,6.8850724897248075,35.88175455914732,6.8850724897248075,strong_shear_thinning,0.9672377754291532,128.51861116164508,0.8298306066783239,True,0.2563773857765846,90.32284467637007
Sepineo,sepineo.csv,2%sep_50110,Sepineo|2%,7,0,15.01,20.1,2.0,,,other,other,40+,master,polymer_reference,benchmark,0.5,0.9999999999999999,36,104105.226687289,82550.0,50110.0,82550.0,26.111722213554213,107.7533959035901,26.111722213554213,strong_shear_thinning,0.8364937496295453,104.10522668728899,5.856025320354077,True,0.2334863231345079,104.13895150622912
Sepineo,sepineo.csv,2%sep_50110,Sepineo|2%,7,0,15.01,20.1,2.0,,,other,other,40+,master,polymer_reference,benchmark,1.0,1.9999999999999998,36,61670.543958410475,50110.0,50110.0,50110.0,23.070333183816555,23.070333183816555,23.070333183816555,strong_shear_thinning,0.8558592459759904,123.34108791682094,4.039578806589344,True,0.2334863231345079,104.13895150622912
Sepineo,sepineo.csv,2%sep_50110,Sepineo|2%,7,0,15.01,20.1,2.0,,,other,other,40+,master,polymer_reference,benchmark,2.0,3.9999999999999996,36,35940.887706198504,30060.0,50110.0,30060.0,19.563831357945787,28.276017349434238,19.563831357945787,strong_shear_thinning,0.888987594823819,143.76355082479398,2.492519987342492,True,0.2334863231345079,104.13895150622912
