sample_id,provider_bucket,viscosity_bucket_kcp,mu_true_mean_cP,mu_pred_mean_cP,median_abs_pct_err,mean_abs_pct_err,R2_drag_median,R2_drag_min,A_median,A_min,A_max,n_rows
l1000_b_a1000,b,0-5,1000.0,1479.3919704245027,47.93919704245027,47.93919704245027,0.9999183063781163,0.9999183063781163,0.6349321761478552,0.6349321761478552,0.6349321761478552,1
l40000_sdl_a62600,sdl,40+,62600.0,89204.16180558644,42.498661031288236,42.498661031288236,0.9998879291778251,0.9998879291778251,38.28504798523023,38.28504798523023,38.28504798523023,1
l1000_sl_a1154,sil_sl,0-5,1154.0,1578.485565967723,36.78384453793094,36.78384453793094,0.9999427103910205,0.9999427103910205,0.6774616162951601,0.6774616162951601,0.6774616162951601,1
l100000_sig_a124800,sig,40+,124800.0,91728.8380683838,26.49932847084631,26.49932847084631,0.9949498165829933,0.9949498165829933,39.368600029349274,39.368600029349274,39.368600029349274,1
l70000_sdl_a99220,sdl,40+,99220.0,123327.163570911,24.296677656632735,24.296677656632735,0.9990650589744665,0.9990650589744665,52.93011312056266,52.93011312056266,52.93011312056266,1
l2000_sdl_a3347,sdl,0-5,3347.0,3913.663612640111,16.93049335644191,16.93049335644191,0.9998739672359523,0.9998739672359523,1.6796839539227943,1.6796839539227943,1.6796839539227943,1
l60000_sig_a74560,sig,40+,74560.0,86732.07620698866,16.32520950508136,16.32520950508136,0.9996214137228198,0.9994900713499434,37.22406704162603,36.644926992516176,37.80320709073589,2
l12500_b_14590,b,5-15,14590.0,16802.201788101545,15.717868263659463,15.162452283081182,0.9998073660673416,0.9996126784553753,7.246024454793097,6.491618355869339,7.719888254875249,7
l4000_sdl_a6611,sdl,5-15,6611.0,7618.240018267348,15.235819365713935,15.235819365713935,0.9996931961104129,0.9996931961104129,3.2696309091276174,3.2696309091276174,3.2696309091276174,1
l8000_sdl_a8930,sdl,5-15,8930.0,10187.12288287844,14.077523884417028,14.077523884417028,0.9993073529676418,0.9993073529676418,4.372155743724653,4.372155743724653,4.372155743724653,1
l12500_b_a14570,b,5-15,14570.0,16370.228172846688,12.355718413498202,12.355718413498202,0.9992399570736132,0.9992399570736132,7.025849001221754,7.025849001221754,7.025849001221754,1
l10000_sdl_a9194,sdl,5-15,9194.0,10282.14052079398,11.835333051924959,11.835333051924959,0.9979965411655853,0.9979965411655853,4.412935845834326,4.412935845834326,4.412935845834326,1
l60000_sl_a37020,sil_sl,15-40,37020.0,41159.24539002633,11.1811058617675,11.1811058617675,0.9996212480903897,0.9996212480903897,17.664912184560656,17.664912184560656,17.664912184560656,1
l50000_sdl_a79700,sdl,40+,79700.0,88268.49776630111,10.750938226224728,10.750938226224728,0.9995343789604205,0.9995343789604205,37.88347543618073,37.88347543618073,37.88347543618073,1
l60000_b_a69080,b,40+,69080.0,76213.13972845157,10.32591159301038,10.32591159301038,0.9996078260005471,0.9994641496439823,32.709502029378356,31.96502881738436,33.453975241372355,2
l10000_sig_a11700,sig,5-15,11700.0,10623.338247038693,9.202237204797493,9.202237204797493,0.9963653596062122,0.9953140784349543,4.559372638214032,4.405539306345664,4.7132059700824,2
l20000_sdl_a24380,sdl,15-40,24380.0,26593.908568002993,9.080839081226387,9.080839081226387,0.9994896391638535,0.9994896391638535,11.413694664378966,11.413694664378966,11.413694664378966,1
l45000_sdl_a40600,sdl,40+,40600.0,43862.70598024866,8.036221626228231,8.036221626228231,0.9997327067334302,0.9997327067334302,18.825195699677536,18.825195699677536,18.825195699677536,1
l5000_b_5865,b,5-15,5865.0,6297.717724177368,7.377966311634577,7.377966311634577,0.9987749931436833,0.9987749931436833,2.702883143423763,2.702883143423763,2.702883143423763,1
l1000_sig_a1116,sig,0-5,1116.0,1170.6750460209364,6.263716094337547,6.263716094337547,0.9978920993698392,0.9966144922112892,0.5024356420690714,0.4724343237803131,0.5324369603578297,2
l10000_sl_a11860,sil_sl,5-15,11860.0,11656.524994459725,5.917869283008153,7.008080739424233,0.9992642710101044,0.997461750734303,4.958619191703694,4.189067071486828,5.845498887294786,15
l95000_sdl_a93270,sdl,40+,93270.0,98184.50718445437,5.269118885444806,5.269118885444806,0.999301966801615,0.999301966801615,42.13927346972291,42.13927346972291,42.13927346972291,1
l15000_sdl_a19000,sdl,15-40,19000.0,18797.814528031915,5.22161542595656,5.22161542595656,0.997883185898973,0.9969486633657441,8.067731557095243,7.6419345910301155,8.49352852316037,2
l55000_sdl_a48520,sdl,40+,48520.0,50548.0576764628,4.179838574737837,4.179838574737837,0.9984006604195742,0.9984006604195742,21.694445354705064,21.694445354705064,21.694445354705064,1
