pathway_name,sample_id,label,cell,rpm,provider_bucket,viscosity_bucket_kcp,mu_true_cP,mu_pred_cP,abs_pct_err,R2_drag,A
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,7,4.2,sil_sl,5-15,11860.0,21341.42244658673,79.94454002181054,0.9885193166587055,2.8779797236203435
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,7,4.2,sil_sl,5-15,11860.0,5002.538432036981,57.820080674224435,0.9877221676899818,1.5007615296110943
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,7,4.2,sil_sl,5-15,11860.0,11318.752399497922,4.5636391273362396,,4.857833647853186
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,8,4.2,sil_sl,5-15,11860.0,11263.581807211836,5.02882118708401,0.997461750734303,4.834155282065166
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,8,4.2,sil_sl,5-15,11860.0,20387.715045768688,71.9031622746095,0.9843739320692289,2.6256638861186903
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,8,4.2,sil_sl,5-15,11860.0,4940.6279665315005,58.34209134459106,0.9865143531318469,1.48218838995945
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,8,4.2,sil_sl,5-15,11860.0,11263.581807211836,5.02882118708401,,4.834155282065166
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,9,4.2,sil_sl,5-15,11860.0,10781.350655658873,9.094851132724514,0.9992642710101044,4.627189122600375
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,9,4.2,sil_sl,5-15,11860.0,20197.398230429597,70.29846737293083,0.9903883154046161,2.5767030178678403
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,9,4.2,sil_sl,5-15,11860.0,5925.090724158682,50.041393556840795,0.99548653184116,1.7775272172476044
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,9,4.2,sil_sl,5-15,11860.0,10781.350655658873,9.094851132724514,,4.627189122600375
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,10,4.2,sil_sl,5-15,11860.0,10198.881397690957,14.006059041391595,0.9988317191982491,4.377202316605561
