family,sample_id,label,cell,pathway,n_rpm_matched,mu_pred_mean_cP,mu_true_mean_cP,abs_pct_err_mean,abs_pct_err_median,n_replicates
Silicone,l12500_b_14590,l12500_b_14590,4,newtonian,1,10608.130297789081,14590.0,27.291773147436043,27.291773147436043,7
Silicone,l12500_b_14590,l12500_b_14590,5,newtonian,1,11521.800445503255,14590.0,21.029469187777554,21.029469187777554,7
Silicone,l12500_b_14590,l12500_b_14590,6,newtonian,1,11755.22186107711,14590.0,19.429596565612677,19.429596565612677,7
Silicone,l12500_b_14590,l12500_b_14590,8,newtonian,1,12298.14478416035,14590.0,15.708397641121662,15.708397641121662,7
Silicone,l60000_sig_a74560,l60000_sig_a74560,16,newtonian,1,80535.11650984798,74560.0,8.013836520718861,8.013836520718861,2
Silicone,l60000_sig_a74560,l60000_sig_a74560,17,newtonian,1,74615.47101879638,74560.0,0.07439782563892061,0.07439782563892061,2
Silicone,l60000_sil_a37020,l60000_sil_a37020,1,newtonian,1,29326.370807868014,37020.0,20.782358703760092,20.782358703760092,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,2,newtonian,1,31048.560875690255,37020.0,16.130305576201366,16.130305576201366,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,3,newtonian,1,21630.207096675345,37020.0,41.57156375830539,41.57156375830539,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,4,newtonian,1,23533.902455635958,37020.0,36.42922081135614,36.42922081135614,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,5,newtonian,1,24565.654530235675,37020.0,33.64220818412837,33.64220818412837,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,6,newtonian,1,27085.304537897442,37020.0,26.83602231794316,26.83602231794316,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,7,newtonian,1,30437.728241623554,37020.0,17.780312691454473,17.780312691454473,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,8,newtonian,1,28603.166387662317,37020.0,22.73590927157667,22.73590927157667,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,9,newtonian,1,28392.172030007474,37020.0,23.30585621283773,23.30585621283773,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,10,newtonian,1,27797.570004443765,37020.0,24.912020517439856,24.912020517439856,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,11,newtonian,1,27210.838029965318,37020.0,26.496925905009945,26.496925905009945,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,12,newtonian,1,25921.01654584945,37020.0,29.981046607646004,29.981046607646004,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,13,newtonian,1,26565.903142204574,37020.0,28.239051479728328,28.239051479728328,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,14,newtonian,1,26078.09613636123,37020.0,29.55673653062877,29.55673653062877,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,16,newtonian,1,31162.426454190267,37020.0,15.822727028119214,15.822727028119214,16
Silicone,l60000_sil_a37020,l60000_sil_a37020,17,newtonian,1,27913.289401882226,37020.0,24.59943435472116,24.59943435472116,16
