family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,provider_suffix,provider_bucket,viscosity_bucket_kcp,pathway,regime,n_stress,K_stress,R2_stress,n_idx,mu_app_cP,success,error,n_rpms,forced_newtonian
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,11,0,20.07,20.09,,,sl,sil_sl,5-15,newtonian,Newtonian,,,,1.0,11438.660439053501,True,,1,True
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,12,0,20.0,20.1,,,sl,sil_sl,5-15,newtonian,Newtonian,,,,1.0,11881.158079989787,True,,1,True
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,16,0,15.02,15.02,,,sl,sil_sl,5-15,newtonian,Newtonian,,,,1.0,12875.926272671148,True,,1,True
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,16,1,15.03,15.03,,,sl,sil_sl,5-15,newtonian,Newtonian,,,,1.0,12903.57123172351,True,,1,True
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,17,0,15.02,15.03,,,sl,sil_sl,5-15,newtonian,Newtonian,,,,1.0,13620.01240739685,True,,1,True
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,18,0,15.02,15.05,,,sl,sil_sl,5-15,newtonian,Newtonian,,,,1.0,9780.061013065404,True,,1,True
Silicone,silicone.csv,l1000_b_a1000,l1000_b_a1000,1,0,15.02,15.03,,,b,b,0-5,newtonian,Newtonian,,,,1.0,1479.3919704245027,True,,1,True
Silicone,silicone.csv,l1000_sl_a1154,l1000_sl_a1154,2,0,12.01,15.02,,,sl,sil_sl,0-5,newtonian,Newtonian,,,,1.0,965.5678129578808,True,,1,True
Silicone,silicone.csv,l1000_sl_a1154,l1000_sl_a1154,2,1,15.03,15.03,,,sl,sil_sl,0-5,newtonian,Newtonian,,,,1.0,1548.7988161981632,True,,1,True
Silicone,silicone.csv,l12500_b_14590,l12500_b_14590,1,0,15.03,15.05,,,b,b,5-15,newtonian,Newtonian,,,,1.0,17780.328919244792,True,,1,True
Silicone,silicone.csv,l12500_b_14590,l12500_b_14590,2,0,15.04,15.05,,,b,b,5-15,newtonian,Newtonian,,,,1.0,18020.902870174767,True,,1,True
Silicone,silicone.csv,l12500_b_14590,l12500_b_14590,3,0,15.04,15.05,,,b,b,5-15,newtonian,Newtonian,,,,1.0,16896.223369713585,True,,1,True
Silicone,silicone.csv,l12500_b_14590,l12500_b_14590,4,0,15.04,15.04,,,b,b,5-15,newtonian,Newtonian,,,,1.0,16604.89378089064,True,,1,True
Silicone,silicone.csv,l12500_b_14590,l12500_b_14590,5,0,15.03,15.05,,,b,b,5-15,newtonian,Newtonian,,,,1.0,15609.606008619694,True,,1,True
Silicone,silicone.csv,l12500_b_14590,l12500_b_14590,6,0,15.04,15.05,,,b,b,5-15,newtonian,Newtonian,,,,1.0,15125.470769175561,True,,1,True
Silicone,silicone.csv,l12500_b_14590,l12500_b_14590,8,0,15.02,15.03,,,b,b,5-15,newtonian,Newtonian,,,,1.0,17705.99405134361,True,,1,True
Silicone,silicone.csv,l12500_b_a14570,l12500_b_a14570,7,0,12.01,12.03,,,b,b,5-15,newtonian,Newtonian,,,,1.0,15802.735786026484,True,,1,True
Silicone,silicone.csv,l15000_sdl_a19000,l15000_sdl_a19000,8,1,16.06,16.08,,,sdl,sdl,15-40,newtonian,Newtonian,,,,1.0,21138.283875442743,True,,1,True
Silicone,silicone.csv,l15000_sdl_a19000,l15000_sdl_a19000,9,0,15.02,15.03,,,sdl,sdl,15-40,newtonian,Newtonian,,,,1.0,16276.50837478031,True,,1,True
Silicone,silicone.csv,l15000_sdl_a19000,l15000_sdl_a19000,9,1,20.08,20.09,,,sdl,sdl,15-40,newtonian,Newtonian,,,,1.0,19456.585679937773,True,,1,True
Silicone,silicone.csv,l20000_sdl_a24380,l20000_sdl_a24380,9,0,16.06,20.06,,,sdl,sdl,15-40,newtonian,Newtonian,,,,1.0,26593.908568002993,True,,1,True
Silicone,silicone.csv,l2000_sdl_a3347,l2000_sdl_a3347,3,0,15.01,15.06,,,sdl,sdl,0-5,newtonian,Newtonian,,,,1.0,3913.663612640111,True,,1,True
Silicone,silicone.csv,l25000_sdl_a22730,l25000_sdl_a22730,10,1,20.08,20.09,,,sdl,sdl,15-40,newtonian,Newtonian,,,,1.0,23421.10019810399,True,,1,True
Silicone,silicone.csv,l30000_b_a31870,l30000_b_a31870,11,0,16.06,25.05,,,b,b,15-40,newtonian,Newtonian,,,,1.0,32095.188739221052,True,,1,True
Silicone,silicone.csv,l40000_sdl_a62600,l40000_sdl_a62600,12,0,24.05,28.05,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,88720.15375046362,True,,1,True
Silicone,silicone.csv,l40000_sdl_a62600,l40000_sdl_a62600,12,1,32.06,36.03,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,85942.9691237014,True,,1,True
Silicone,silicone.csv,l4000_sdl_a6611,l4000_sdl_a6611,4,0,15.01,15.04,,,sdl,sdl,5-15,newtonian,Newtonian,,,,1.0,7618.240018267348,True,,1,True
Silicone,silicone.csv,l45000_sdl_a40600,l45000_sdl_a40600,13,1,24.06,28.03,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,42599.501745576585,True,,1,True
Silicone,silicone.csv,l45000_sdl_a40850,l45000_sdl_a40850,12,0,20.0,20.1,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,33703.9386060565,True,,1,True
Silicone,silicone.csv,l45000_sdl_a40850,l45000_sdl_a40850,12,1,25.0,25.08,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,44981.21974213176,True,,1,True
Silicone,silicone.csv,l50000_sdl_a79700,l50000_sdl_a79700,14,1,32.05,36.04,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,85975.74609077825,True,,1,True
Silicone,silicone.csv,l5000_b_5865,l5000_b_5865,4,0,12.01,12.02,,,b,b,5-15,newtonian,Newtonian,,,,1.0,6297.717724177368,True,,1,True
Silicone,silicone.csv,l5000_b_a5856,l5000_b_a5856,5,0,15.01,15.04,,,b,b,5-15,newtonian,Newtonian,,,,1.0,6070.76164698543,True,,1,True
Silicone,silicone.csv,l55000_sdl_a48520,l55000_sdl_a48520,13,1,25.0,25.07,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,48624.5605925244,True,,1,True
Silicone,silicone.csv,l60000_b_a69080,l60000_b_a69080,15,1,30.0,30.1,,,b,b,40+,newtonian,Newtonian,,,,1.0,73161.55410489772,True,,1,True
Silicone,silicone.csv,l60000_b_a69080,l60000_b_a69080,15,2,35.07,35.09,,,b,b,40+,newtonian,Newtonian,,,,1.0,79220.33223153674,True,,1,True
Silicone,silicone.csv,l60000_b_a69080,l60000_b_a69080,16,0,24.06,28.04,,,b,b,40+,newtonian,Newtonian,,,,1.0,76704.82489495825,True,,1,True
Silicone,silicone.csv,l60000_sil_a37000,l60000_sil_a37000,15,0,20.0,20.02,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,35473.59552900056,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,1,1,25.03,25.07,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,42360.88867052146,True,,1,True
