family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,hit_point_z,provider_suffix,provider_bucket,viscosity_bucket_kcp,truth_source,benchmark_family,cohort_type,rpm,gamma_dot,n_drag_points,mu_pred_cP,mu_true_cP,mu_true_label_cP,mu_true_master_cP,abs_pct_err,abs_pct_err_label,abs_pct_err_master,pathway,R2_drag,tau_Pa_hit,A,fit_success,n_stress,K_stress
PEG,PEG.csv,10%600K_64250,PEG|10.0%|600K,1,0,5.0,16.0,10.0,600K,,other,other,40+,,mixed,exploratory,15.0,29.999999999999993,42,2178.736128677084,,64250.0,,,96.60897100595007,,mild_shear_thinning,0.9969573167301604,121.78893632476783,0.6134224466214494,True,0.6869884383536091,11.795269736853855
PEG,PEG.csv,10%600K_64250,PEG|10.0%|600K,1,0,5.0,16.0,10.0,600K,,other,other,40+,,mixed,exploratory,16.0,31.999999999999996,42,2135.1644039361013,,64250.0,,,96.67678691994381,,mild_shear_thinning,0.9968259415228113,127.03389181644924,0.5950018567724085,True,0.6869884383536091,11.795269736853855
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,master,polymer_reference,benchmark,40.0,79.99999999999999,97,800.9036100159924,711.9,577.0,711.9,12.5022629605271,38.80478509809227,12.5022629605271,mild_shear_thinning,0.9986742943044657,80.5246009848506,0.24027108300479771,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,,mixed,exploratory,50.0,99.99999999999999,210,751.4979091178445,,577.0,,,30.242271944167165,,mild_shear_thinning,0.9489327565958531,95.41372949798725,0.207001215602726,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,master,polymer_reference,benchmark,60.0,119.99999999999997,93,713.401568263686,648.2,577.0,648.2,10.058865822845727,23.639786527501915,10.058865822845727,mild_shear_thinning,0.9988619107133022,108.78128266589357,0.21025968073834556,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,,mixed,exploratory,70.0,139.99999999999997,207,682.7022658789542,,577.0,,,18.319283514550126,,mild_shear_thinning,0.9485060834851039,121.7495441986195,0.1856009191362858,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,,mixed,exploratory,80.0,159.99999999999997,97,657.1792152963158,,577.0,,,13.895877867645712,,mild_shear_thinning,0.9985626357096652,133.815115525916,0.1902935156178313,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,master,polymer_reference,benchmark,90.0,179.99999999999997,211,635.4594875542191,576.6,577.0,576.6,10.208027671560712,10.131626959136758,10.208027671560712,mild_shear_thinning,0.9460445434338906,146.58214960445437,0.17179401799796035,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,,mixed,exploratory,100.0,199.99999999999997,97,616.6395057215756,,577.0,,,6.869931667517431,,mild_shear_thinning,0.9984702502193743,156.1101454318221,0.17444705603600485,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,,mixed,exploratory,110.0,219.99999999999997,208,600.0953794127925,,577.0,,,4.0026654094960925,,mild_shear_thinning,0.9410691847502891,169.94352275056522,0.163098966713415,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,,mixed,exploratory,120.0,239.99999999999994,93,585.3796598735878,,577.0,,,1.4522807406564642,,mild_shear_thinning,0.9978591205987063,176.34678531023974,0.16147013795147008,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%300K_577,PEG|5.0%|300K,1,0,5.01,35.07,5.0,300K,,other,other,0-5,,mixed,exploratory,130.0,259.99999999999994,93,572.1613889489885,,577.0,,,0.8385807714058103,,mild_shear_thinning,0.9978982563182629,186.3525320690425,0.15679803822102914,True,0.7146582301717974,3.5474942810161774
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,5.0,9.999999999999998,111,13887.38436401537,4485.0,3254.0,4485.0,209.6406770126058,326.7788679783457,209.6406770126058,strong_shear_thinning,0.9467908541140724,138.87384364015367,2.6544152075132628,True,0.2769748754862526,79.71237294393829
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,10.0,19.999999999999996,111,10711.53721230391,3711.0,3254.0,3711.0,188.6428782620294,229.18061500626646,188.6428782620294,strong_shear_thinning,0.9392567571210167,214.2307442460782,1.9362444832848147,True,0.2769748754862526,79.71237294393829
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,15.0,29.999999999999993,70,6921.057163656716,3254.0,3254.0,3254.0,112.69382801649402,112.69382801649402,112.69382801649402,strong_shear_thinning,0.9513878580996588,207.63171490970143,1.0010903772490845,True,0.2769748754862526,79.71237294393829
PEG,PEG.csv,5%600K_3254,PEG|5.0%|600K,3,0,5.01,15.08,5.0,600K,,other,other,0-5,master,polymer_reference,benchmark,20.0,39.99999999999999,42,5051.61629188921,2947.0,3254.0,2947.0,71.4155511329898,55.24327879192408,71.4155511329898,strong_shear_thinning,0.9638890412171778,202.06465167556837,0.5717018497716406,True,0.2769748754862526,79.71237294393829
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,,mixed,exploratory,7.0,13.999999999999998,14,6757.914729979207,,4109.0,,,64.46616524651269,,mild_shear_thinning,0.9921681820245954,72.77686230436632,2.027374418993762,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,,mixed,exploratory,9.0,17.999999999999996,14,6246.190783715812,,4109.0,,,52.01243085217358,,mild_shear_thinning,0.9939965415918617,87.03186884034982,1.8155738677608895,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,master,polymer_reference,benchmark,10.0,19.999999999999996,14,6043.358740725837,4336.0,4109.0,4336.0,39.37635472153684,47.07614360491208,39.37635472153684,mild_shear_thinning,0.9938746811395397,93.73214418850843,1.7397539150053942,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,,mixed,exploratory,11.0,21.999999999999993,14,5865.5548293516185,,4109.0,,,42.74896153204231,,mild_shear_thinning,0.9948417128209802,100.04022041405035,1.662870677151727,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,master,polymer_reference,benchmark,12.0,23.999999999999996,14,5707.804335958146,4109.0,4109.0,4109.0,38.90981591526275,38.90981591526275,38.90981591526275,mild_shear_thinning,0.9948248149851496,106.15792904849194,1.6000160245077208,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,,mixed,exploratory,13.0,26.0,14,5566.437188391395,,4109.0,,,35.469388863260995,,mild_shear_thinning,0.9953611451022242,112.06344082335094,1.544714578772372,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,,mixed,exploratory,14.0,27.999999999999996,14,5438.675086872914,,4109.0,,,32.360065389946804,,mild_shear_thinning,0.9957038218924732,117.76523369112796,1.4947521620728292,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,master,polymer_reference,benchmark,15.0,29.999999999999993,14,5322.368621868462,3837.0,4109.0,3837.0,38.711718057556986,29.529535698916074,38.711718057556986,mild_shear_thinning,0.9960159244452168,123.23308487848654,1.4498015353287512,True,0.6866770930264453,11.94425734309414
PEG,PEG.csv,6.5%600K_4109,PEG|6.5%|600K,1,0,15.02,35.09,6.5,600K,,other,other,0-5,,mixed,exploratory,16.0,31.999999999999996,14,5215.8237661452895,,4109.0,,,26.936572551601106,,mild_shear_thinning,0.9964617308540553,128.4395307863687,1.401319219484291,True,0.6866770930264453,11.94425734309414
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,,mixed,exploratory,1.8,3.5999999999999996,22,,,10580.0,,,,,,0.5671363137221629,110.11509138763977,1.125804791455615,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,master,polymer_reference,benchmark,2.4,4.799999999999999,22,,15630.0,10580.0,15630.0,,,,,0.5732539748454601,122.32803660015526,0.8460077270825991,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,,mixed,exploratory,3.0,5.999999999999999,22,,,10580.0,,,,,,0.5440940107772458,131.72108226766719,0.5846922118712297,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,,mixed,exploratory,3.6,7.199999999999999,22,,,10580.0,,,,,,0.48506490871605445,138.75097268267612,0.3914249791781474,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,,mixed,exploratory,4.2,8.399999999999999,22,,,10580.0,,,,,,0.43391959999376783,144.45034711518332,0.26983479284422324,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,master,polymer_reference,benchmark,4.8,9.599999999999998,22,,10580.0,10580.0,10580.0,,,,,0.38079091311012403,148.95821469768907,0.18703807907780498,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,,mixed,exploratory,5.4,10.799999999999999,22,,,10580.0,,,,,,0.41670528770455395,153.52565762269487,0.1552563523539795,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,,mixed,exploratory,6.0,11.999999999999998,22,,,10580.0,,,,,,0.43364452230895845,156.94131059269918,0.13136039429995722,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,,mixed,exploratory,6.6,13.199999999999998,22,,,10580.0,,,,,,0.4853998730789483,159.959794612703,0.11411791200059054,False,,
Carbopol980,carbopol.csv,980carb0.2%_10580,Carbopol980|0.2%,1,0,15.0,15.08,0.2,,,other,other,5-15,master,polymer_reference,benchmark,7.2,14.399999999999999,22,,7855.0,10580.0,7855.0,,,,,0.4649297707909167,162.83926950020668,0.10738432350781207,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,,mixed,exploratory,0.2,0.39999999999999997,18,,,49810.0,,,,,,0.033742175744879144,46.985086785059636,-4.857061615403531,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,master,polymer_reference,benchmark,0.4,0.7999999999999999,54,,90540.0,49810.0,90540.0,,,,,0.2076907563901459,119.96488134765225,21.992468312134413,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,master,polymer_reference,benchmark,0.6,1.1999999999999997,54,,69120.0,49810.0,69120.0,,,,,0.26262422130577745,132.25726035016785,16.28523667370581,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,,mixed,exploratory,0.8,1.5999999999999999,54,,,49810.0,,,,,,0.24707647884654638,140.7963927751787,12.4482982838741,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,master,polymer_reference,benchmark,1.0,1.9999999999999998,54,,49810.0,49810.0,49810.0,,,,,0.23044145662231263,143.37799095018198,9.718970102910873,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,,mixed,exploratory,1.2,2.3999999999999995,18,,,49810.0,,,,,,0.24571938045670771,94.08932425511942,-3.125891067306002,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,,mixed,exploratory,1.4,2.8,18,,,49810.0,,,,,,0.3525464070009461,95.24111421012088,-3.1846079869743593,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,master,polymer_reference,benchmark,1.6,3.1999999999999997,18,,36770.0,49810.0,36770.0,,,,,0.226601012629981,101.67525120012905,-2.433237580230704,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,,mixed,exploratory,1.8,3.5999999999999996,18,,,49810.0,,,,,,0.2710254726829274,99.98728316262691,-2.059054609470042,False,,
Carbopol980,carbopol.csv,980carb0.3%_49810,Carbopol980|0.3%,10,0,15.01,35.1,0.3,,,other,other,40+,,mixed,exploratory,2.0,3.9999999999999996,18,,,49810.0,,,,,,0.38853526830439455,94.52621010011998,-1.9535497979210437,False,,
