sample,label,true_mu_cP,n_rpms,regime,n_idx,mu_app_cP,R2_drag_mean,R2_powerlaw,Cell_Label
PEG,5%600K_3254 | exp8,3254.0,1,Newtonian,1.0,12151.211549244264,0.9575490808003467,,5%600K_3254 | exp8
PEG,6.5%600K_4109 | exp11,4109.0,1,Newtonian,1.0,12818.269056390458,0.967499001928197,,6.5%600K_4109 | exp11
PEG,6.5%600K_4109 | exp19,4109.0,9,shear-thinning,0.5050633183654353,17751.75148042983,0.9961846661200181,0.9987138694084597,6.5%600K_4109 | exp19
PEG,6.5%600K_4109 | exp4,4109.0,1,Newtonian,1.0,13091.904788262766,0.9588848430936154,,6.5%600K_4109 | exp4
PEG,6.5%600K_4109 | exp9,4109.0,1,Newtonian,1.0,14275.832654429367,0.9395822638248484,,6.5%600K_4109 | exp9
sepineo,1%sep_2148,2148.0,10,shear-thinning,0.2536516004888173,9402.269052922307,0.8927273070172799,0.906041350346856,1%sep_2148
sepineo,1.5%sep_17240,17240.0,11,shear-thinning,0.23166438067601047,19436.941249955536,0.8018283667468499,0.7679565223106186,1.5%sep_17240
sepineo,2%sep_50110,50110.0,12,shear-thinning,0.2484663899520605,37597.45517711355,0.8490270708882838,0.9290598238560475,2%sep_50110
solagum,1%sola_522,522.0,10,shear-thinning,0.4402064703361549,6650.885081816489,0.9862019439133256,0.9842296190217313,1%sola_522
solagum,2%sola_35860,35860.0,13,shear-thinning,0.7371031749568495,21491.96626603963,0.7043132511607362,0.0361573967222778,2%sola_35860
solagum,3%sola_130700,130700.0,10,shear-thinning,0.341024630292703,52427.280599843965,0.6346162637827399,0.9790118240182892,3%sola_130700
carbopol,980carb0.3%_49810 | exp1,49810.0,4,shear-thinning,0.12469265014126485,25520.448706924326,0.5784020146375057,0.7779410813585103,980carb0.3%_49810 | exp1
carbopol,980carb0.4%_159700 | exp2,159700.0,4,shear-thinning,-0.21513264772279617,37264.08439412633,0.31678282987844136,0.9966480116533004,980carb0.4%_159700 | exp2
