time_s,rpm,torque_percent,viscosity_cp
1.03,4.5,40.66,8967.517822222222
2.04,4.5,48.78,10758.3748
3.02,4.5,54.42,12002.270533333334
4.0,4.5,59.25,13067.521666666667
5.01,4.5,64.82,14295.978977777777
6.04,4.5,69.34,15292.859955555556
7.02,4.5,72.55,16000.821888888888
8.05,4.5,74.08,16338.261688888888
9.03,4.5,75.63,16680.112466666666
10.04,4.5,76.92,16964.620533333335
11.06,4.5,77.54,17101.360844444444
12.02,4.5,76.51,16874.19548888889
13.02,4.5,74.0,16320.617777777778
14.05,4.5,73.11,16124.329266666668
15.02,4.5,71.61,15793.505933333334
16.03,4.5,70.26,15495.764933333334
17.02,4.5,68.33,15070.105577777776
18.01,4.5,66.27,14615.774866666667
19.01,4.5,68.71,15153.914155555556
20.02,4.5,71.45,15758.218111111113
21.04,4.5,73.0,16100.068888888889
22.03,4.5,74.95,16530.13922222222
23.04,4.5,76.3,16827.880222222222
24.02,4.5,77.27,17041.812644444446
25.04,4.5,77.29,17046.223622222224
26.05,4.5,74.44,16417.659288888888
27.05,4.5,73.12,16126.534755555556
28.02,4.5,72.27,15939.0682
29.04,4.5,70.72,15597.217422222224
30.01,4.5,69.26,15275.216044444445
31.04,4.5,66.98,14772.364577777778
32.01,4.5,67.0,14776.775555555556
33.01,4.5,70.17,15475.915533333335
34.05,4.5,72.42,15972.150533333333
35.01,4.5,74.21,16366.933044444442
36.01,4.5,74.99,16538.961177777775
37.02,4.5,76.29,16825.674733333333
38.03,4.5,77.19,17024.168733333336
39.02,4.5,74.6,16452.947111111112
40.04,4.5,72.97,16093.452422222223
41.02,4.5,72.43,15974.356022222222
42.02,4.5,71.11,15683.231488888889
43.01,4.5,69.72,15376.668533333335
44.01,4.5,67.81,14955.420155555556
45.01,4.5,66.72,14715.021866666668
46.02,4.5,69.74,15381.079511111111
47.02,4.5,72.1,15901.574888888888
48.03,4.5,73.36,16179.466488888887
49.02,4.5,74.51,16433.097711111113
50.02,4.5,75.71,16697.756377777776
51.09,4.5,76.72,16920.510755555555
52.03,4.5,75.02,16545.577644444442
53.04,4.5,73.06,16113.301822222224
54.03,4.5,72.2,15923.629777777778
55.02,4.5,70.9,15636.916222222224
56.05,4.5,69.91,15418.57282222222
57.02,4.5,67.82,14957.625644444443
58.02,4.5,65.92,14538.582755555555
59.0,4.5,68.18,15037.023244444446
