row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
2,7,1%sep_2.148,-66.1,23,15.01,47.25,2.054348,normal,0.306618,0.997887,-0.78913,6.521739,6.521739,-0.231297,-5.434783,0.997887,0.306618,0.844828,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.3066); hit_r2_slope (R^2=0.8448)
2,7,1%sep_2.148,-66.12,23,15.01,47.6,2.069565,normal,0.613179,0.998833,-0.804348,-4.347826,-4.347826,0.446965,-38.043478,0.998833,0.613179,0.628261,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.6132); hit_r2_slope (R^2=0.6283)
2,7,1%sep_2.148,-66.14,23,15.02,48.03,2.088261,normal,0.634366,0.998173,-0.813043,8.695652,8.695652,-0.222617,-21.73913,0.998173,0.634366,0.894681,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.6344); hit_r2_slope (R^2=0.8947)
2,7,1%sep_2.148,-66.16,23,15.05,48.36,2.102609,normal,0.748323,0.99877,-0.821739,-10.869565,-10.869565,-0.00817,-21.73913,0.99877,0.748323,0.892857,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.7483); hit_r2_slope (R^2=0.8929)
2,7,1%sep_2.148,-66.18,23,15.03,48.83,2.123043,normal,0.80928,0.997222,-0.852174,15.217391,15.217391,0.7499,-76.086957,0.997222,0.80928,0.724638,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8093); hit_r2_slope (R^2=0.7246)
2,7,1%sep_2.148,-66.2,23,15.02,49.34,2.145217,normal,0.7147,0.994549,-0.930435,4.347826,4.347826,1.600714,-195.652174,0.994549,0.7147,0.775788,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.7147); hit_r2_slope (R^2=0.7758)
2,7,1%sep_2.148,-66.22,23,15.03,49.75,2.163043,normal,0.898759,0.995597,-0.96087,-10.869565,-10.869565,-1.70102,-76.086957,0.995597,0.898759,0.874433,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8988); hit_r2_slope (R^2=0.8744)
2,7,1%sep_2.148,-66.24,23,15.03,50.33,2.188261,normal,0.961459,0.997837,-1.056522,18.478261,18.478261,2.099668,-239.130435,0.997837,0.961459,0.74227,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9615); hit_r2_slope (R^2=0.7423)
2,7,1%sep_2.148,-66.26,23,15.02,50.61,2.200435,normal,0.614267,0.991461,-0.98913,-32.608696,-32.608696,-5.23876,168.478261,0.991461,0.614267,0.244902,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.6143); hit_r2_slope (R^2=0.2449)
2,7,1%sep_2.148,-66.28,23,15.03,51.25,2.228261,normal,0.215947,0.989304,-1.017391,39.130435,39.130435,3.05781,-70.652174,0.989304,0.215947,0.4647,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.2159); hit_r2_slope (R^2=0.4647)
2,7,1%sep_2.148,-66.3,23,15.02,51.57,2.242174,normal,0.061515,0.986938,-0.991304,-34.782609,-34.782609,-1.736076,65.217391,0.986938,0.061515,0.11646,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.0615); hit_r2_slope (R^2=0.1165)
2,7,1%sep_2.148,-66.32,23,15.03,52.21,2.27,normal,0.417244,0.983889,-1.026087,34.782609,34.782609,1.949635,-86.956522,0.983889,0.417244,0.007143,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.4172); hit_r2_slope (R^2=0.0071)
2,7,1%sep_2.148,-66.34,23,15.02,52.58,2.286087,normal,0.310192,0.989564,-1.065217,-29.347826,-29.347826,0.003392,-97.826087,0.989564,0.310192,0.885542,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.3102); hit_r2_slope (R^2=0.8855)
2,7,1%sep_2.148,-66.36,23,15.02,53.26,2.315652,normal,0.560103,0.986728,-1.093478,33.695652,33.695652,-0.266637,-70.652174,0.986728,0.560103,0.899888,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.5601); hit_r2_slope (R^2=0.8999)
2,7,1%sep_2.148,-66.38,23,15.02,53.75,2.336957,normal,0.942464,0.99412,-1.176087,-20.652174,-20.652174,1.513591,-206.521739,0.99412,0.942464,0.754335,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9425); hit_r2_slope (R^2=0.7543)
2,7,1%sep_2.148,-66.4,23,15.01,54.37,2.363913,normal,0.938361,0.993503,-1.193478,14.130435,14.130435,-1.944681,-43.478261,0.993503,0.938361,0.833662,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9384); hit_r2_slope (R^2=0.8337)
2,7,1%sep_2.148,-66.42,23,15.03,54.97,2.39,normal,0.943241,0.998242,-1.280435,-2.173913,-2.173913,2.009053,-217.391304,0.998242,0.943241,0.670635,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9432); hit_r2_slope (R^2=0.6706)
2,7,1%sep_2.148,-66.44,23,15.02,55.59,2.416957,normal,0.849825,0.998314,-1.278261,2.173913,2.173913,-2.665543,5.434783,0.998314,0.849825,0.737188,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8498); hit_r2_slope (R^2=0.7372)
2,7,1%sep_2.148,-66.46,23,15.02,56.32,2.448696,normal,0.844658,0.998558,-1.382609,11.956522,11.956522,3.152829,-260.869565,0.998558,0.844658,0.478904,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8447); hit_r2_slope (R^2=0.4789)
2,7,1%sep_2.148,-66.48,23,15.03,56.97,2.476957,normal,0.89577,0.998773,-1.423913,-8.695652,-8.695652,-1.927358,-103.26087,0.998773,0.89577,0.875555,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8958); hit_r2_slope (R^2=0.8756)
2,7,1%sep_2.148,-66.5,23,15.02,57.82,2.513913,normal,0.883369,0.997159,-1.53913,21.73913,21.73913,2.124125,-288.043478,0.997159,0.883369,0.762163,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8834); hit_r2_slope (R^2=0.7622)
2,8,1.5%sep_17.24,-65.52,2.9,25.02,43.79,15.1,hit_detected,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,FALSE,insufficient_data
2,8,1.5%sep_17.24,-65.54,2.9,15.02,44.47,15.334483,hit_detected,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,8,1.5%sep_17.24,-65.56,2.9,15.01,44.86,15.468966,hit_detected,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,8,1.5%sep_17.24,-65.58,2.9,15.02,45.29,15.617241,hit_detected,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,8,1.5%sep_17.24,-65.6,2.9,15.02,45.78,15.786207,hit_detected,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,8,1.5%sep_17.24,-65.62,2.9,15.02,46.29,15.962069,hit_detected,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,8,1.5%sep_17.24,-65.64,2.9,15.02,46.67,16.093103,hit_detected,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
2,8,1.5%sep_17.24,-65.66,2.9,15.01,46.99,16.203448,hit_detected,0,0.990789,-7.396552,-51.724138,-51.724138,-2.838648,0,0.990789,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,
2,8,1.5%sep_17.24,-65.68,2.9,15.02,47.39,16.341379,hit_detected,0.922205,0.993483,-6.758621,68.965517,68.965517,-0.419033,1594.827586,0.993483,0.922205,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.2,FALSE,hit_r2_cv (R^2=0.9222)
2,8,1.5%sep_17.24,-65.7,2.9,15.01,47.68,16.441379,hit_detected,0.925524,0.997947,-6.034483,-94.827586,-94.827586,-0.313375,1810.344828,0.997947,0.925524,0.884879,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9255); hit_r2_slope (R^2=0.8849)
2,8,1.5%sep_17.24,-65.72,2.9,15.01,48.1,16.586207,hit_detected,0.939112,0.997254,-6.12069,112.068966,112.068966,3.651136,-215.517241,0.997254,0.939112,0.683462,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9391); hit_r2_slope (R^2=0.6835)
2,8,1.5%sep_17.24,-65.74,2.9,15.01,48.39,16.686207,hit_detected,0.812393,0.996611,-6.051724,-112.068966,-112.068966,-0.661143,172.413793,0.996611,0.812393,0.182836,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8124); hit_r2_slope (R^2=0.1828)
2,8,1.5%sep_17.24,-65.76,2.9,15.03,48.73,16.803448,hit_detected,0.751893,0.99699,-5.844828,43.103448,43.103448,-0.597997,517.241379,0.99699,0.751893,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.7519); hit_r2_slope (R^2=0.7500)
2,8,1.5%sep_17.24,-65.78,2.9,15.02,48.97,16.886207,hit_detected,0.830628,0.991809,-5.534483,-86.206897,-86.206897,-0.341697,775.862069,0.991809,0.830628,0.857143,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8306); hit_r2_slope (R^2=0.8571)
2,8,1.5%sep_17.24,-65.8,2.9,15.03,49.32,17.006897,hit_detected,0.96466,0.99755,-5.206897,94.827586,94.827586,-0.187659,818.965517,0.99755,0.96466,0.889823,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9647); hit_r2_slope (R^2=0.8898)
2,8,1.5%sep_17.24,-65.82,2.9,15.03,49.59,17.1,hit_detected,0.97295,0.997334,-5.155172,-68.965517,-68.965517,1.25921,129.310345,0.997334,0.97295,0.816667,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9729); hit_r2_slope (R^2=0.8167)
2,8,1.5%sep_17.24,-65.84,2.9,15.02,49.91,17.210345,hit_detected,0.885443,0.997439,-5.137931,43.103448,43.103448,0.141748,43.103448,0.997439,0.885443,0.864286,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8854); hit_r2_slope (R^2=0.8643)
2,8,1.5%sep_17.24,-65.86,2.9,15.01,50.17,17.3,hit_detected,0.735808,0.99769,-5.155172,-51.724138,-51.724138,0.150576,-43.103448,0.99769,0.735808,0.083333,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.7358); hit_r2_slope (R^2=0.0833)
2,8,1.5%sep_17.24,-65.88,2.9,15.03,50.48,17.406897,hit_detected,0.882424,0.999145,-5,43.103448,43.103448,-0.727084,387.931034,0.999145,0.882424,0.382653,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8824); hit_r2_slope (R^2=0.3827)
2,8,1.5%sep_17.24,-65.9,2.9,15.02,50.81,17.52069,hit_detected,0.410977,0.9986,-5.189655,17.241379,17.241379,1.441537,-474.137931,0.9986,0.410977,0.021777,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.4110); hit_r2_slope (R^2=0.0218)
2,8,1.5%sep_17.24,-65.92,2.9,15.02,51.12,17.627586,hit_detected,0.00022,0.998379,-5.275862,-17.241379,-17.241379,-0.434781,-215.517241,0.998379,0.00022,0.883843,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.0002); hit_r2_slope (R^2=0.8838)
2,8,1.5%sep_17.24,-65.94,2.9,15.02,51.47,17.748276,hit_detected,0.527121,0.999581,-5.586207,34.482759,34.482759,0.884175,-775.862069,0.999581,0.527121,0.7201,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.5271); hit_r2_slope (R^2=0.7201)
2,8,1.5%sep_17.24,-65.96,2.9,15.03,51.8,17.862069,hit_detected,0.958266,0.999706,-5.689655,-17.241379,-17.241379,-0.83855,-258.62069,0.999706,0.958266,0.864286,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9583); hit_r2_slope (R^2=0.8643)
2,8,1.5%sep_17.24,-65.98,2.9,15.02,52.03,17.941379,hit_detected,0.174603,0.995622,-5.37931,-86.206897,-86.206897,-1.600507,775.862069,0.995622,0.174603,0.15,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.1746); hit_r2_slope (R^2=0.1500)
2,8,1.5%sep_17.24,-66,2.9,15.02,52.34,18.048276,hit_detected,0.239972,0.995267,-5.172414,68.965517,68.965517,0.385775,517.241379,0.995267,0.239972,0.898936,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.2400); hit_r2_slope (R^2=0.8989)
2,8,1.5%sep_17.24,-66.02,2.9,15.02,52.59,18.134483,hit_detected,0.896604,0.997316,-4.793103,-51.724138,-51.724138,-0.68854,948.275862,0.997316,0.896604,0.829876,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8966); hit_r2_slope (R^2=0.8299)
2,8,1.5%sep_17.24,-66.04,2.9,15.01,52.96,18.262069,hit_detected,0.867439,0.993913,-4.965517,103.448276,103.448276,2.235545,-431.034483,0.993913,0.867439,0.436469,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8674); hit_r2_slope (R^2=0.4365)
2,8,1.5%sep_17.24,-66.06,2.9,15.02,53.18,18.337931,hit_detected,0.540988,0.995377,-5.034483,-129.310345,-129.310345,-0.449257,-172.413793,0.995377,0.540988,0.876214,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.5410); hit_r2_slope (R^2=0.8762)
